T [fm^-1]		muB [fm^-1]		betaV_dfce [fm^-3]
0.580000		0.000000		0.000144
0.582424		0.000000		0.000151
0.584848		0.000000		0.000159
0.587273		0.000000		0.000167
0.589697		0.000000		0.000176
0.592121		0.000000		0.000185
0.594545		0.000000		0.000194
0.596970		0.000000		0.000204
0.599394		0.000000		0.000214
0.601818		0.000000		0.000224
0.604242		0.000000		0.000235
0.606667		0.000000		0.000247
0.609091		0.000000		0.000259
0.611515		0.000000		0.000271
0.613939		0.000000		0.000284
0.616364		0.000000		0.000298
0.618788		0.000000		0.000312
0.621212		0.000000		0.000327
0.623636		0.000000		0.000342
0.626061		0.000000		0.000358
0.628485		0.000000		0.000374
0.630909		0.000000		0.000392
0.633333		0.000000		0.000409
0.635758		0.000000		0.000428
0.638182		0.000000		0.000447
0.640606		0.000000		0.000467
0.643030		0.000000		0.000488
0.645455		0.000000		0.000510
0.647879		0.000000		0.000533
0.650303		0.000000		0.000556
0.652727		0.000000		0.000580
0.655152		0.000000		0.000605
0.657576		0.000000		0.000632
0.660000		0.000000		0.000659
0.662424		0.000000		0.000687
0.664848		0.000000		0.000716
0.667273		0.000000		0.000746
0.669697		0.000000		0.000778
0.672121		0.000000		0.000810
0.674545		0.000000		0.000844
0.676970		0.000000		0.000878
0.679394		0.000000		0.000915
0.681818		0.000000		0.000952
0.684242		0.000000		0.000991
0.686667		0.000000		0.001031
0.689091		0.000000		0.001072
0.691515		0.000000		0.001115
0.693939		0.000000		0.001159
0.696364		0.000000		0.001205
0.698788		0.000000		0.001253
0.701212		0.000000		0.001302
0.703636		0.000000		0.001353
0.706061		0.000000		0.001405
0.708485		0.000000		0.001459
0.710909		0.000000		0.001515
0.713333		0.000000		0.001573
0.715758		0.000000		0.001633
0.718182		0.000000		0.001694
0.720606		0.000000		0.001758
0.723030		0.000000		0.001824
0.725455		0.000000		0.001892
0.727879		0.000000		0.001962
0.730303		0.000000		0.002034
0.732727		0.000000		0.002109
0.735152		0.000000		0.002186
0.737576		0.000000		0.002265
0.740000		0.000000		0.002347
0.742424		0.000000		0.002431
0.744848		0.000000		0.002518
0.747273		0.000000		0.002608
0.749697		0.000000		0.002700
0.752121		0.000000		0.002796
0.754545		0.000000		0.002894
0.756970		0.000000		0.002995
0.759394		0.000000		0.003099
0.761818		0.000000		0.003206
0.764242		0.000000		0.003316
0.766667		0.000000		0.003430
0.769091		0.000000		0.003547
0.771515		0.000000		0.003667
0.773939		0.000000		0.003791
0.776364		0.000000		0.003919
0.778788		0.000000		0.004050
0.781212		0.000000		0.004185
0.783636		0.000000		0.004324
0.786061		0.000000		0.004467
0.788485		0.000000		0.004613
0.790909		0.000000		0.004764
0.793333		0.000000		0.004919
0.795758		0.000000		0.005079
0.798182		0.000000		0.005243
0.800606		0.000000		0.005411
0.803030		0.000000		0.005584
0.805455		0.000000		0.005762
0.807879		0.000000		0.005944
0.810303		0.000000		0.006132
0.812727		0.000000		0.006324
0.815152		0.000000		0.006522
0.817576		0.000000		0.006725
0.820000		0.000000		0.006934
0.580000		0.027475		0.000144
0.582424		0.027475		0.000151
0.584848		0.027475		0.000159
0.587273		0.027475		0.000167
0.589697		0.027475		0.000176
0.592121		0.027475		0.000185
0.594545		0.027475		0.000194
0.596970		0.027475		0.000204
0.599394		0.027475		0.000214
0.601818		0.027475		0.000225
0.604242		0.027475		0.000236
0.606667		0.027475		0.000247
0.609091		0.027475		0.000259
0.611515		0.027475		0.000272
0.613939		0.027475		0.000285
0.616364		0.027475		0.000298
0.618788		0.027475		0.000312
0.621212		0.027475		0.000327
0.623636		0.027475		0.000342
0.626061		0.027475		0.000358
0.628485		0.027475		0.000375
0.630909		0.027475		0.000392
0.633333		0.027475		0.000410
0.635758		0.027475		0.000428
0.638182		0.027475		0.000448
0.640606		0.027475		0.000468
0.643030		0.027475		0.000489
0.645455		0.027475		0.000510
0.647879		0.027475		0.000533
0.650303		0.027475		0.000556
0.652727		0.027475		0.000581
0.655152		0.027475		0.000606
0.657576		0.027475		0.000632
0.660000		0.027475		0.000659
0.662424		0.027475		0.000687
0.664848		0.027475		0.000716
0.667273		0.027475		0.000747
0.669697		0.027475		0.000778
0.672121		0.027475		0.000811
0.674545		0.027475		0.000844
0.676970		0.027475		0.000879
0.679394		0.027475		0.000915
0.681818		0.027475		0.000953
0.684242		0.027475		0.000991
0.686667		0.027475		0.001031
0.689091		0.027475		0.001073
0.691515		0.027475		0.001116
0.693939		0.027475		0.001160
0.696364		0.027475		0.001206
0.698788		0.027475		0.001254
0.701212		0.027475		0.001303
0.703636		0.027475		0.001353
0.706061		0.027475		0.001406
0.708485		0.027475		0.001460
0.710909		0.027475		0.001516
0.713333		0.027475		0.001574
0.715758		0.027475		0.001634
0.718182		0.027475		0.001695
0.720606		0.027475		0.001759
0.723030		0.027475		0.001825
0.725455		0.027475		0.001893
0.727879		0.027475		0.001963
0.730303		0.027475		0.002035
0.732727		0.027475		0.002110
0.735152		0.027475		0.002187
0.737576		0.027475		0.002266
0.740000		0.027475		0.002348
0.742424		0.027475		0.002433
0.744848		0.027475		0.002520
0.747273		0.027475		0.002609
0.749697		0.027475		0.002702
0.752121		0.027475		0.002797
0.754545		0.027475		0.002895
0.756970		0.027475		0.002996
0.759394		0.027475		0.003101
0.761818		0.027475		0.003208
0.764242		0.027475		0.003318
0.766667		0.027475		0.003432
0.769091		0.027475		0.003549
0.771515		0.027475		0.003669
0.773939		0.027475		0.003793
0.776364		0.027475		0.003921
0.778788		0.027475		0.004052
0.781212		0.027475		0.004187
0.783636		0.027475		0.004326
0.786061		0.027475		0.004469
0.788485		0.027475		0.004616
0.790909		0.027475		0.004767
0.793333		0.027475		0.004922
0.795758		0.027475		0.005081
0.798182		0.027475		0.005245
0.800606		0.027475		0.005414
