T [fm^-1]		muB [fm^-1]		c0_df14 [..]
0.580000		0.000000		135.004358
0.582424		0.000000		131.340643
0.584848		0.000000		127.810041
0.587273		0.000000		124.406635
0.589697		0.000000		121.124822
0.592121		0.000000		117.959290
0.594545		0.000000		114.905006
0.596970		0.000000		111.957194
0.599394		0.000000		109.111324
0.601818		0.000000		106.363093
0.604242		0.000000		103.708417
0.606667		0.000000		101.143411
0.609091		0.000000		98.664387
0.611515		0.000000		96.267832
0.613939		0.000000		93.950409
0.616364		0.000000		91.708938
0.618788		0.000000		89.540393
0.621212		0.000000		87.441889
0.623636		0.000000		85.410681
0.626061		0.000000		83.444148
0.628485		0.000000		81.539793
0.630909		0.000000		79.695233
0.633333		0.000000		77.908193
0.635758		0.000000		76.176503
0.638182		0.000000		74.498089
0.640606		0.000000		72.870971
0.643030		0.000000		71.293255
0.645455		0.000000		69.763132
0.647879		0.000000		68.278872
0.650303		0.000000		66.838820
0.652727		0.000000		65.441390
0.655152		0.000000		64.085068
0.657576		0.000000		62.768403
0.660000		0.000000		61.490003
0.662424		0.000000		60.248537
0.664848		0.000000		59.042729
0.667273		0.000000		57.871356
0.669697		0.000000		56.733245
0.672121		0.000000		55.627271
0.674545		0.000000		54.552355
0.676970		0.000000		53.507462
0.679394		0.000000		52.491597
0.681818		0.000000		51.503808
0.684242		0.000000		50.543177
0.686667		0.000000		49.608825
0.689091		0.000000		48.699906
0.691515		0.000000		47.815608
0.693939		0.000000		46.955150
0.696364		0.000000		46.117782
0.698788		0.000000		45.302781
0.701212		0.000000		44.509454
0.703636		0.000000		43.737132
0.706061		0.000000		42.985173
0.708485		0.000000		42.252959
0.710909		0.000000		41.539895
0.713333		0.000000		40.845407
0.715758		0.000000		40.168944
0.718182		0.000000		39.509975
0.720606		0.000000		38.867988
0.723030		0.000000		38.242489
0.725455		0.000000		37.633005
0.727879		0.000000		37.039077
0.730303		0.000000		36.460264
0.732727		0.000000		35.896141
0.735152		0.000000		35.346298
0.737576		0.000000		34.810341
0.740000		0.000000		34.287887
0.742424		0.000000		33.778571
0.744848		0.000000		33.282037
0.747273		0.000000		32.797944
0.749697		0.000000		32.325962
0.752121		0.000000		31.865774
0.754545		0.000000		31.417074
0.756970		0.000000		30.979564
0.759394		0.000000		30.552961
0.761818		0.000000		30.136989
0.764242		0.000000		29.731382
0.766667		0.000000		29.335885
0.769091		0.000000		28.950251
0.771515		0.000000		28.574242
0.773939		0.000000		28.207629
0.776364		0.000000		27.850189
0.778788		0.000000		27.501709
0.781212		0.000000		27.161985
0.783636		0.000000		26.830818
0.786061		0.000000		26.508017
0.788485		0.000000		26.193398
0.790909		0.000000		25.886784
0.793333		0.000000		25.588005
0.795758		0.000000		25.296897
0.798182		0.000000		25.013303
0.800606		0.000000		24.737071
0.803030		0.000000		24.468056
0.805455		0.000000		24.206119
0.807879		0.000000		23.951125
0.810303		0.000000		23.702947
0.812727		0.000000		23.461462
0.815152		0.000000		23.226553
0.817576		0.000000		22.998107
0.820000		0.000000		22.776019
0.580000		0.027475		135.040291
0.582424		0.027475		131.375297
0.584848		0.027475		127.843472
0.587273		0.027475		124.438897
0.589697		0.027475		121.155964
0.592121		0.027475		117.989361
0.594545		0.027475		114.934051
0.596970		0.027475		111.985257
0.599394		0.027475		109.138446
0.601818		0.027475		106.389314
0.604242		0.027475		103.733774
0.606667		0.027475		101.167940
0.609091		0.027475		98.688121
0.611515		0.027475		96.290805
0.613939		0.027475		93.972651
0.616364		0.027475		91.730479
0.618788		0.027475		89.561261
0.621212		0.027475		87.462111
0.623636		0.027475		85.430283
