T [fm^-1]		c0_df14_muB_0 [..]
0.580000		135.004358
0.582424		131.340643
0.584848		127.810041
0.587273		124.406635
0.589697		121.124822
0.592121		117.959290
0.594545		114.905006
0.596970		111.957194
0.599394		109.111324
0.601818		106.363093
0.604242		103.708417
0.606667		101.143411
0.609091		98.664387
0.611515		96.267832
0.613939		93.950409
0.616364		91.708938
0.618788		89.540393
0.621212		87.441889
0.623636		85.410681
0.626061		83.444148
0.628485		81.539793
0.630909		79.695233
0.633333		77.908193
0.635758		76.176503
0.638182		74.498089
0.640606		72.870971
0.643030		71.293255
0.645455		69.763132
0.647879		68.278872
0.650303		66.838820
0.652727		65.441390
0.655152		64.085068
0.657576		62.768403
0.660000		61.490003
0.662424		60.248537
0.664848		59.042729
0.667273		57.871356
0.669697		56.733245
0.672121		55.627271
0.674545		54.552355
0.676970		53.507462
0.679394		52.491597
0.681818		51.503808
0.684242		50.543177
0.686667		49.608825
0.689091		48.699906
0.691515		47.815608
0.693939		46.955150
0.696364		46.117782
0.698788		45.302781
0.701212		44.509454
0.703636		43.737132
0.706061		42.985173
0.708485		42.252959
0.710909		41.539895
0.713333		40.845407
0.715758		40.168944
0.718182		39.509975
0.720606		38.867988
0.723030		38.242489
0.725455		37.633005
0.727879		37.039077
0.730303		36.460264
0.732727		35.896141
0.735152		35.346298
0.737576		34.810341
0.740000		34.287887
0.742424		33.778571
0.744848		33.282037
0.747273		32.797944
0.749697		32.325962
0.752121		31.865774
0.754545		31.417074
0.756970		30.979564
0.759394		30.552961
0.761818		30.136989
0.764242		29.731382
0.766667		29.335885
0.769091		28.950251
0.771515		28.574242
0.773939		28.207629
0.776364		27.850189
0.778788		27.501709
0.781212		27.161985
0.783636		26.830818
0.786061		26.508017
0.788485		26.193398
0.790909		25.886784
0.793333		25.588005
0.795758		25.296897
0.798182		25.013303
0.800606		24.737071
0.803030		24.468056
0.805455		24.206119
0.807879		23.951125
0.810303		23.702947
0.812727		23.461462
0.815152		23.226553
0.817576		22.998107
0.820000		22.776019
