100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.580000		0.000000		-0.160321
0.582424		0.000000		-0.161398
0.584848		0.000000		-0.162481
0.587273		0.000000		-0.163572
0.589697		0.000000		-0.164669
0.592121		0.000000		-0.165774
0.594545		0.000000		-0.166886
0.596970		0.000000		-0.168005
0.599394		0.000000		-0.169131
0.601818		0.000000		-0.170263
0.604242		0.000000		-0.171403
0.606667		0.000000		-0.172550
0.609091		0.000000		-0.173704
0.611515		0.000000		-0.174864
0.613939		0.000000		-0.176032
0.616364		0.000000		-0.177206
0.618788		0.000000		-0.178387
0.621212		0.000000		-0.179575
0.623636		0.000000		-0.180770
0.626061		0.000000		-0.181972
0.628485		0.000000		-0.183180
0.630909		0.000000		-0.184395
0.633333		0.000000		-0.185617
0.635758		0.000000		-0.186846
0.638182		0.000000		-0.188081
0.640606		0.000000		-0.189322
0.643030		0.000000		-0.190571
0.645455		0.000000		-0.191826
0.647879		0.000000		-0.193087
0.650303		0.000000		-0.194355
0.652727		0.000000		-0.195630
0.655152		0.000000		-0.196910
0.657576		0.000000		-0.198198
0.660000		0.000000		-0.199492
0.662424		0.000000		-0.200792
0.664848		0.000000		-0.202098
0.667273		0.000000		-0.203411
0.669697		0.000000		-0.204730
0.672121		0.000000		-0.206056
0.674545		0.000000		-0.207387
0.676970		0.000000		-0.208725
0.679394		0.000000		-0.210069
0.681818		0.000000		-0.211419
0.684242		0.000000		-0.212776
0.686667		0.000000		-0.214138
0.689091		0.000000		-0.215507
0.691515		0.000000		-0.216882
0.693939		0.000000		-0.218262
0.696364		0.000000		-0.219649
0.698788		0.000000		-0.221042
0.701212		0.000000		-0.222441
0.703636		0.000000		-0.223845
0.706061		0.000000		-0.225256
0.708485		0.000000		-0.226672
0.710909		0.000000		-0.228095
0.713333		0.000000		-0.229523
0.715758		0.000000		-0.230957
0.718182		0.000000		-0.232396
0.720606		0.000000		-0.233842
0.723030		0.000000		-0.235293
0.725455		0.000000		-0.236750
0.727879		0.000000		-0.238213
0.730303		0.000000		-0.239682
0.732727		0.000000		-0.241156
0.735152		0.000000		-0.242636
0.737576		0.000000		-0.244121
0.740000		0.000000		-0.245612
0.742424		0.000000		-0.247108
0.744848		0.000000		-0.248611
0.747273		0.000000		-0.250118
0.749697		0.000000		-0.251631
0.752121		0.000000		-0.253150
0.754545		0.000000		-0.254674
0.756970		0.000000		-0.256204
0.759394		0.000000		-0.257739
0.761818		0.000000		-0.259279
0.764242		0.000000		-0.260825
0.766667		0.000000		-0.262376
0.769091		0.000000		-0.263933
0.771515		0.000000		-0.265495
0.773939		0.000000		-0.267062
0.776364		0.000000		-0.268635
0.778788		0.000000		-0.270213
0.781212		0.000000		-0.271796
0.783636		0.000000		-0.273384
0.786061		0.000000		-0.274978
0.788485		0.000000		-0.276576
0.790909		0.000000		-0.278180
0.793333		0.000000		-0.279790
0.795758		0.000000		-0.281404
0.798182		0.000000		-0.283024
0.800606		0.000000		-0.284648
0.803030		0.000000		-0.286278
0.805455		0.000000		-0.287913
0.807879		0.000000		-0.289553
0.810303		0.000000		-0.291198
0.812727		0.000000		-0.292848
0.815152		0.000000		-0.294503
0.817576		0.000000		-0.296163
0.820000		0.000000		-0.297828
0.580000		0.027475		-0.160348
0.582424		0.027475		-0.161425
0.584848		0.027475		-0.162509
0.587273		0.027475		-0.163601
0.589697		0.027475		-0.164699
0.592121		0.027475		-0.165804
0.594545		0.027475		-0.166916
0.596970		0.027475		-0.168036
0.599394		0.027475		-0.169162
0.601818		0.027475		-0.170295
0.604242		0.027475		-0.171436
0.606667		0.027475		-0.172583
0.609091		0.027475		-0.173737
0.611515		0.027475		-0.174898
0.613939		0.027475		-0.176067
0.616364		0.027475		-0.177241
0.618788		0.027475		-0.178423
0.621212		0.027475		-0.179612
0.623636		0.027475		-0.180807
0.626061		0.027475		-0.182009
0.628485		0.027475		-0.183218
0.630909		0.027475		-0.184434
0.633333		0.027475		-0.185656
0.635758		0.027475		-0.186885
0.638182		0.027475		-0.188121
0.640606		0.027475		-0.189363
0.643030		0.027475		-0.190612
0.645455		0.027475		-0.191868
0.647879		0.027475		-0.193130
0.650303		0.027475		-0.194398
0.652727		0.027475		-0.195673
0.655152		0.027475		-0.196955
0.657576		0.027475		-0.198242
0.660000		0.027475		-0.199537
0.662424		0.027475		-0.200837
0.664848		0.027475		-0.202145
0.667273		0.027475		-0.203458
0.669697		0.027475		-0.204778
0.672121		0.027475		-0.206104
0.674545		0.027475		-0.207436
0.676970		0.027475		-0.208774
0.679394		0.027475		-0.210119
0.681818		0.027475		-0.211470
0.684242		0.027475		-0.212827
0.686667		0.027475		-0.214190
0.689091		0.027475		-0.215559
0.691515		0.027475		-0.216934
0.693939		0.027475		-0.218315
0.696364		0.027475		-0.219703
0.698788		0.027475		-0.221096
0.701212		0.027475		-0.222495
0.703636		0.027475		-0.223900
0.706061		0.027475		-0.225311
0.708485		0.027475		-0.226728
0.710909		0.027475		-0.228151
0.713333		0.027475		-0.229580
0.715758		0.027475		-0.231015
0.718182		0.027475		-0.232455
0.720606		0.027475		-0.233901
0.723030		0.027475		-0.235353
0.725455		0.027475		-0.236810
0.727879		0.027475		-0.238274
0.730303		0.027475		-0.239743
0.732727		0.027475		-0.241217
0.735152		0.027475		-0.242698
0.737576		0.027475		-0.244184
0.740000		0.027475		-0.245675
0.742424		0.027475		-0.247172
0.744848		0.027475		-0.248675
0.747273		0.027475		-0.250183
0.749697		0.027475		-0.251697
0.752121		0.027475		-0.253216
0.754545		0.027475		-0.254741
0.756970		0.027475		-0.256271
0.759394		0.027475		-0.257806
0.761818		0.027475		-0.259347
0.764242		0.027475		-0.260893
0.766667		0.027475		-0.262445
0.769091		0.027475		-0.264002
0.771515		0.027475		-0.265565
0.773939		0.027475		-0.267132
0.776364		0.027475		-0.268705
0.778788		0.027475		-0.270284
0.781212		0.027475		-0.271867
0.783636		0.027475		-0.273456
0.786061		0.027475		-0.275050
0.788485		0.027475		-0.276650
0.790909		0.027475		-0.278254
0.793333		0.027475		-0.279864
0.795758		0.027475		-0.281479
0.798182		0.027475		-0.283099
0.800606		0.027475		-0.284724
0.803030		0.027475		-0.286354
0.805455		0.027475		-0.287989
0.807879		0.027475		-0.289630
0.810303		0.027475		-0.291275
0.812727		0.027475		-0.292926
0.815152		0.027475		-0.294581
0.817576		0.027475		-0.296242
0.820000		0.027475		-0.297908
0.580000		0.054949		-0.160430
0.582424		0.054949		-0.161509
0.584848		0.054949		-0.162594
0.587273		0.054949		-0.163687
0.589697		0.054949		-0.164787
0.592121		0.054949		-0.165894
