101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.100000		0.000000		0.026274
0.101000		0.000000		0.029029
0.102000		0.000000		0.032020
0.103000		0.000000		0.035260
0.104000		0.000000		0.038766
0.105000		0.000000		0.042554
0.106000		0.000000		0.046642
0.107000		0.000000		0.051047
0.108000		0.000000		0.055789
0.109000		0.000000		0.060886
0.110000		0.000000		0.066359
0.111000		0.000000		0.072228
0.112000		0.000000		0.078516
0.113000		0.000000		0.085245
0.114000		0.000000		0.092438
0.115000		0.000000		0.100118
0.116000		0.000000		0.108311
0.117000		0.000000		0.117043
0.118000		0.000000		0.126339
0.119000		0.000000		0.136227
0.120000		0.000000		0.146735
0.121000		0.000000		0.157892
0.122000		0.000000		0.169727
0.123000		0.000000		0.182272
0.124000		0.000000		0.195557
0.125000		0.000000		0.209615
0.126000		0.000000		0.224480
0.127000		0.000000		0.240184
0.128000		0.000000		0.256764
0.129000		0.000000		0.274255
0.130000		0.000000		0.292693
0.131000		0.000000		0.312117
0.132000		0.000000		0.332564
0.133000		0.000000		0.354074
0.134000		0.000000		0.376687
0.135000		0.000000		0.400444
0.136000		0.000000		0.425388
0.137000		0.000000		0.451561
0.138000		0.000000		0.479006
0.139000		0.000000		0.507769
0.140000		0.000000		0.537896
0.141000		0.000000		0.569431
0.142000		0.000000		0.602423
0.143000		0.000000		0.636920
0.144000		0.000000		0.672970
0.145000		0.000000		0.710624
0.146000		0.000000		0.749931
0.147000		0.000000		0.790945
0.148000		0.000000		0.833716
0.149000		0.000000		0.878298
0.150000		0.000000		0.924746
0.151000		0.000000		0.973113
0.152000		0.000000		1.023455
0.153000		0.000000		1.075829
0.154000		0.000000		1.130292
0.155000		0.000000		1.186902
0.156000		0.000000		1.245716
0.157000		0.000000		1.306795
0.158000		0.000000		1.370199
0.159000		0.000000		1.435989
0.160000		0.000000		1.504225
0.161000		0.000000		1.574970
0.162000		0.000000		1.648287
0.163000		0.000000		1.724240
0.164000		0.000000		1.802892
0.165000		0.000000		1.884309
0.166000		0.000000		1.968555
0.167000		0.000000		2.055696
0.168000		0.000000		2.145800
0.169000		0.000000		2.238933
0.170000		0.000000		2.335163
0.171000		0.000000		2.434558
0.172000		0.000000		2.537186
0.173000		0.000000		2.643117
0.174000		0.000000		2.752420
0.175000		0.000000		2.865166
0.176000		0.000000		2.981424
0.177000		0.000000		3.101266
0.178000		0.000000		3.224762
0.179000		0.000000		3.351986
0.180000		0.000000		3.483007
0.181000		0.000000		3.617900
0.182000		0.000000		3.756736
0.183000		0.000000		3.899588
0.184000		0.000000		4.046530
0.185000		0.000000		4.197635
0.186000		0.000000		4.352976
0.187000		0.000000		4.512628
0.188000		0.000000		4.676665
0.189000		0.000000		4.845160
0.190000		0.000000		5.018189
0.191000		0.000000		5.195825
0.192000		0.000000		5.378144
0.193000		0.000000		5.565220
0.194000		0.000000		5.757128
0.195000		0.000000		5.953943
0.196000		0.000000		6.155739
0.197000		0.000000		6.362592
0.198000		0.000000		6.574576
0.199000		0.000000		6.791766
0.200000		0.000000		7.014238
0.100000		0.010000		0.026399
0.101000		0.010000		0.029165
0.102000		0.010000		0.032166
0.103000		0.010000		0.035418
0.104000		0.010000		0.038935
0.105000		0.010000		0.042736
0.106000		0.010000		0.046837
0.107000		0.010000		0.051256
0.108000		0.010000		0.056011
0.109000		0.010000		0.061123
0.110000		0.010000		0.066612
0.111000		0.010000		0.072498
0.112000		0.010000		0.078803
0.113000		0.010000		0.085549
0.114000		0.010000		0.092759
0.115000		0.010000		0.100459
0.116000		0.010000		0.108672
0.117000		0.010000		0.117423
0.118000		0.010000		0.126741
0.119000		0.010000		0.136650
0.120000		0.010000		0.147181
0.121000		0.010000		0.158361
0.122000		0.010000		0.170220
0.123000		0.010000		0.182789
0.124000		0.010000		0.196100
0.125000		0.010000		0.210184
0.126000		0.010000		0.225075
0.127000		0.010000		0.240807
0.128000		0.010000		0.257415
0.129000		0.010000		0.274935
0.130000		0.010000		0.293402
0.131000		0.010000		0.312856
0.132000		0.010000		0.333334
0.133000		0.010000		0.354875
0.134000		0.010000		0.377521
0.135000		0.010000		0.401311
0.136000		0.010000		0.426288
0.137000		0.010000		0.452495
0.138000		0.010000		0.479975
0.139000		0.010000		0.508774
0.140000		0.010000		0.538936
0.141000		0.010000		0.570508
0.142000		0.010000		0.603537
0.143000		0.010000		0.638072
0.144000		0.010000		0.674161
0.145000		0.010000		0.711854
0.146000		0.010000		0.751201
0.147000		0.010000		0.792255
0.148000		0.010000		0.835067
0.149000		0.010000		0.879691
0.150000		0.010000		0.926180
0.151000		0.010000		0.974590
0.152000		0.010000		1.024976
0.153000		0.010000		1.077394
0.154000		0.010000		1.131901
0.155000		0.010000		1.188555
0.156000		0.010000		1.247415
0.157000		0.010000		1.308541
0.158000		0.010000		1.371991
0.159000		0.010000		1.437828
0.160000		0.010000		1.506111
0.161000		0.010000		1.576905
0.162000		0.010000		1.650271
0.163000		0.010000		1.726273
0.164000		0.010000		1.804976
0.165000		0.010000		1.886443
0.166000		0.010000		1.970740
0.167000		0.010000		2.057933
0.168000		0.010000		2.148090
0.169000		0.010000		2.241276
0.170000		0.010000		2.337559
0.171000		0.010000		2.437008
0.172000		0.010000		2.539691
0.173000		0.010000		2.645677
0.174000		0.010000		2.755037
0.175000		0.010000		2.867839
0.176000		0.010000		2.984154
0.177000		0.010000		3.104054
0.178000		0.010000		3.227610
0.179000		0.010000		3.354892
0.180000		0.010000		3.485974
0.181000		0.010000		3.620927
0.182000		0.010000		3.759825
0.183000		0.010000		3.902740
0.184000		0.010000		4.049744
0.185000		0.010000		4.200913
0.186000		0.010000		4.356319
0.187000		0.010000		4.516036
0.188000		0.010000		4.680139
0.189000		0.010000		4.848701
0.190000		0.010000		5.021798
0.191000		0.010000		5.199503
0.192000		0.010000		5.381891
0.193000		0.010000		5.569038
0.194000		0.010000		5.761017
0.195000		0.010000		5.957903
0.196000		0.010000		6.159773
0.197000		0.010000		6.366700
0.198000		0.010000		6.578759
0.199000		0.010000		6.796025
0.200000		0.010000		7.018574
0.100000		0.020000		0.026777
0.101000		0.020000		0.029573
0.102000		0.020000		0.032605
0.103000		0.020000		0.035890
0.104000		0.020000		0.039443
0.105000		0.020000		0.043280
0.106000		0.020000		0.047419
0.107000		0.020000		0.051879
0.108000		0.020000		0.056677
0.109000		0.020000		0.061833
0.110000		0.020000		0.067367
0.111000		0.020000		0.073301
0.112000		0.020000		0.079655
0.113000		0.020000		0.086453
0.114000		0.020000		0.093718
0.115000		0.020000		0.101473
0.116000		0.020000		0.109743
0.117000		0.020000		0.118554
0.118000		0.020000		0.127932
0.119000		0.020000		0.137906
0.120000		0.020000		0.148501
0.121000		0.020000		0.159748
0.122000		0.020000		0.171677
0.123000		0.020000		0.184317
0.124000		0.020000		0.197700
0.125000		0.020000		0.211859
0.126000		0.020000		0.226826
0.127000		0.020000		0.242636
0.128000		0.020000		0.259324
0.129000		0.020000		0.276925
0.130000		0.020000		0.295476
0.131000		0.020000		0.315014
0.132000		0.020000		0.335579
0.133000		0.020000		0.357208
0.134000		0.020000		0.379943
0.135000		0.020000		0.403824
0.136000		0.020000		0.428893
0.137000		0.020000		0.455194
0.138000		0.020000		0.482769
0.139000		0.020000		0.511664
0.140000		0.020000		0.541923
0.141000		0.020000		0.573594
0.142000		0.020000		0.606722
0.143000		0.020000		0.641358
0.144000		0.020000		0.677548
0.145000		0.020000		0.715343
0.146000		0.020000		0.754794
0.147000		0.020000		0.795952
0.148000		0.020000		0.838869
0.149000		0.020000		0.883599
0.150000		0.020000		0.930195
0.151000		0.020000		0.978711
0.152000		0.020000		1.029204
0.153000		0.020000		1.081730
0.154000		0.020000		1.136346
0.155000		0.020000		1.193109
0.156000		0.020000		1.252078
0.157000		0.020000		1.313312
0.158000		0.020000		1.376872
0.159000		0.020000		1.442819
0.160000		0.020000		1.511213
0.161000		0.020000		1.582116
0.162000		0.020000		1.655593
