101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.545954
0.101000		0.000000		-0.519042
0.102000		0.000000		-0.493738
0.103000		0.000000		-0.469927
0.104000		0.000000		-0.447505
0.105000		0.000000		-0.426374
0.106000		0.000000		-0.406446
0.107000		0.000000		-0.387639
0.108000		0.000000		-0.369877
0.109000		0.000000		-0.353091
0.110000		0.000000		-0.337216
0.111000		0.000000		-0.322195
0.112000		0.000000		-0.307971
0.113000		0.000000		-0.294495
0.114000		0.000000		-0.281719
0.115000		0.000000		-0.269600
0.116000		0.000000		-0.258098
0.117000		0.000000		-0.247176
0.118000		0.000000		-0.236799
0.119000		0.000000		-0.226934
0.120000		0.000000		-0.217552
0.121000		0.000000		-0.208624
0.122000		0.000000		-0.200125
0.123000		0.000000		-0.192031
0.124000		0.000000		-0.184318
0.125000		0.000000		-0.176966
0.126000		0.000000		-0.169955
0.127000		0.000000		-0.163266
0.128000		0.000000		-0.156883
0.129000		0.000000		-0.150788
0.130000		0.000000		-0.144966
0.131000		0.000000		-0.139405
0.132000		0.000000		-0.134089
0.133000		0.000000		-0.129006
0.134000		0.000000		-0.124146
0.135000		0.000000		-0.119495
0.136000		0.000000		-0.115045
0.137000		0.000000		-0.110785
0.138000		0.000000		-0.106706
0.139000		0.000000		-0.102799
0.140000		0.000000		-0.099056
0.141000		0.000000		-0.095469
0.142000		0.000000		-0.092030
0.143000		0.000000		-0.088734
0.144000		0.000000		-0.085572
0.145000		0.000000		-0.082539
0.146000		0.000000		-0.079630
0.147000		0.000000		-0.076837
0.148000		0.000000		-0.074157
0.149000		0.000000		-0.071584
0.150000		0.000000		-0.069112
0.151000		0.000000		-0.066739
0.152000		0.000000		-0.064459
0.153000		0.000000		-0.062268
0.154000		0.000000		-0.060163
0.155000		0.000000		-0.058139
0.156000		0.000000		-0.056194
0.157000		0.000000		-0.054323
0.158000		0.000000		-0.052524
0.159000		0.000000		-0.050793
0.160000		0.000000		-0.049128
0.161000		0.000000		-0.047527
0.162000		0.000000		-0.045985
0.163000		0.000000		-0.044501
0.164000		0.000000		-0.043073
0.165000		0.000000		-0.041697
0.166000		0.000000		-0.040373
0.167000		0.000000		-0.039097
0.168000		0.000000		-0.037868
0.169000		0.000000		-0.036685
0.170000		0.000000		-0.035544
0.171000		0.000000		-0.034444
0.172000		0.000000		-0.033385
0.173000		0.000000		-0.032363
0.174000		0.000000		-0.031378
0.175000		0.000000		-0.030429
0.176000		0.000000		-0.029513
0.177000		0.000000		-0.028629
0.178000		0.000000		-0.027777
0.179000		0.000000		-0.026954
0.180000		0.000000		-0.026161
0.181000		0.000000		-0.025395
0.182000		0.000000		-0.024655
0.183000		0.000000		-0.023941
0.184000		0.000000		-0.023252
0.185000		0.000000		-0.022586
0.186000		0.000000		-0.021944
0.187000		0.000000		-0.021322
0.188000		0.000000		-0.020722
0.189000		0.000000		-0.020143
0.190000		0.000000		-0.019582
0.191000		0.000000		-0.019041
0.192000		0.000000		-0.018517
0.193000		0.000000		-0.018011
0.194000		0.000000		-0.017522
0.195000		0.000000		-0.017048
0.196000		0.000000		-0.016590
0.197000		0.000000		-0.016147
0.198000		0.000000		-0.015719
0.199000		0.000000		-0.015304
0.200000		0.000000		-0.014903
0.100000		0.010000		-0.546201
0.101000		0.010000		-0.519271
0.102000		0.010000		-0.493951
0.103000		0.010000		-0.470125
0.104000		0.010000		-0.447688
0.105000		0.010000		-0.426543
0.106000		0.010000		-0.406602
0.107000		0.010000		-0.387782
0.108000		0.010000		-0.370009
0.109000		0.010000		-0.353212
0.110000		0.010000		-0.337328
0.111000		0.010000		-0.322297
0.112000		0.010000		-0.308064
0.113000		0.010000		-0.294579
0.114000		0.010000		-0.281796
0.115000		0.010000		-0.269670
0.116000		0.010000		-0.258161
0.117000		0.010000		-0.247233
0.118000		0.010000		-0.236849
0.119000		0.010000		-0.226979
0.120000		0.010000		-0.217592
0.121000		0.010000		-0.208660
0.122000		0.010000		-0.200156
0.123000		0.010000		-0.192058
0.124000		0.010000		-0.184342
0.125000		0.010000		-0.176986
0.126000		0.010000		-0.169972
0.127000		0.010000		-0.163280
0.128000		0.010000		-0.156893
0.129000		0.010000		-0.150796
0.130000		0.010000		-0.144973
0.131000		0.010000		-0.139409
0.132000		0.010000		-0.134091
0.133000		0.010000		-0.129007
0.134000		0.010000		-0.124144
0.135000		0.010000		-0.119493
0.136000		0.010000		-0.115041
0.137000		0.010000		-0.110780
0.138000		0.010000		-0.106700
0.139000		0.010000		-0.102792
0.140000		0.010000		-0.099048
0.141000		0.010000		-0.095460
0.142000		0.010000		-0.092021
0.143000		0.010000		-0.088723
0.144000		0.010000		-0.085561
0.145000		0.010000		-0.082528
0.146000		0.010000		-0.079618
0.147000		0.010000		-0.076825
0.148000		0.010000		-0.074144
0.149000		0.010000		-0.071571
