101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		0.000000		-2.914108
0.101000		0.000000		-2.652388
0.102000		0.000000		-2.418041
0.103000		0.000000		-2.207828
0.104000		0.000000		-2.018934
0.105000		0.000000		-1.848911
0.106000		0.000000		-1.695621
0.107000		0.000000		-1.557196
0.108000		0.000000		-1.432000
0.109000		0.000000		-1.318596
0.110000		0.000000		-1.215723
0.111000		0.000000		-1.122268
0.112000		0.000000		-1.037251
0.113000		0.000000		-0.959803
0.114000		0.000000		-0.889158
0.115000		0.000000		-0.824635
0.116000		0.000000		-0.765627
0.117000		0.000000		-0.711599
0.118000		0.000000		-0.662069
0.119000		0.000000		-0.616610
0.120000		0.000000		-0.574841
0.121000		0.000000		-0.536417
0.122000		0.000000		-0.501034
0.123000		0.000000		-0.468416
0.124000		0.000000		-0.438314
0.125000		0.000000		-0.410508
0.126000		0.000000		-0.384796
0.127000		0.000000		-0.360998
0.128000		0.000000		-0.338950
0.129000		0.000000		-0.318504
0.130000		0.000000		-0.299527
0.131000		0.000000		-0.281898
0.132000		0.000000		-0.265507
0.133000		0.000000		-0.250253
0.134000		0.000000		-0.236047
0.135000		0.000000		-0.222805
0.136000		0.000000		-0.210452
0.137000		0.000000		-0.198919
0.138000		0.000000		-0.188143
0.139000		0.000000		-0.178068
0.140000		0.000000		-0.168641
0.141000		0.000000		-0.159814
0.142000		0.000000		-0.151542
0.143000		0.000000		-0.143786
0.144000		0.000000		-0.136507
0.145000		0.000000		-0.129674
0.146000		0.000000		-0.123253
0.147000		0.000000		-0.117216
0.148000		0.000000		-0.111536
0.149000		0.000000		-0.106190
0.150000		0.000000		-0.101154
0.151000		0.000000		-0.096407
0.152000		0.000000		-0.091931
0.153000		0.000000		-0.087707
0.154000		0.000000		-0.083719
0.155000		0.000000		-0.079952
0.156000		0.000000		-0.076391
0.157000		0.000000		-0.073024
0.158000		0.000000		-0.069838
0.159000		0.000000		-0.066821
0.160000		0.000000		-0.063964
0.161000		0.000000		-0.061257
0.162000		0.000000		-0.058689
0.163000		0.000000		-0.056254
0.164000		0.000000		-0.053943
0.165000		0.000000		-0.051748
0.166000		0.000000		-0.049664
0.167000		0.000000		-0.047683
0.168000		0.000000		-0.045799
0.169000		0.000000		-0.044007
0.170000		0.000000		-0.042301
0.171000		0.000000		-0.040678
0.172000		0.000000		-0.039131
0.173000		0.000000		-0.037658
0.174000		0.000000		-0.036253
0.175000		0.000000		-0.034913
0.176000		0.000000		-0.033635
0.177000		0.000000		-0.032415
0.178000		0.000000		-0.031250
0.179000		0.000000		-0.030138
0.180000		0.000000		-0.029075
0.181000		0.000000		-0.028058
0.182000		0.000000		-0.027087
0.183000		0.000000		-0.026157
0.184000		0.000000		-0.025268
0.185000		0.000000		-0.024416
0.186000		0.000000		-0.023600
0.187000		0.000000		-0.022819
0.188000		0.000000		-0.022071
0.189000		0.000000		-0.021353
0.190000		0.000000		-0.020665
0.191000		0.000000		-0.020005
0.192000		0.000000		-0.019371
0.193000		0.000000		-0.018763
0.194000		0.000000		-0.018180
0.195000		0.000000		-0.017619
0.196000		0.000000		-0.017080
0.197000		0.000000		-0.016562
0.198000		0.000000		-0.016065
0.199000		0.000000		-0.015586
0.200000		0.000000		-0.015126
0.100000		0.010000		-2.900892
0.101000		0.010000		-2.640664
0.102000		0.010000		-2.407625
0.103000		0.010000		-2.198559
0.104000		0.010000		-2.010674
0.105000		0.010000		-1.841539
0.106000		0.010000		-1.689033
0.107000		0.010000		-1.551300
0.108000		0.010000		-1.426716
0.109000		0.010000		-1.313856
0.110000		0.010000		-1.211464
0.111000		0.010000		-1.118437
0.112000		0.010000		-1.033801
0.113000		0.010000		-0.956693
0.114000		0.010000		-0.886351
0.115000		0.010000		-0.822098
0.116000		0.010000		-0.763333
0.117000		0.010000		-0.709521
0.118000		0.010000		-0.660185
0.119000		0.010000		-0.614901
