101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.100000		0.000000		-0.207275
0.101000		0.000000		-0.205844
0.102000		0.000000		-0.204411
0.103000		0.000000		-0.202978
0.104000		0.000000		-0.201546
0.105000		0.000000		-0.200118
0.106000		0.000000		-0.198694
0.107000		0.000000		-0.197277
0.108000		0.000000		-0.195867
0.109000		0.000000		-0.194466
0.110000		0.000000		-0.193076
0.111000		0.000000		-0.191698
0.112000		0.000000		-0.190332
0.113000		0.000000		-0.188980
0.114000		0.000000		-0.187643
0.115000		0.000000		-0.186322
0.116000		0.000000		-0.185018
0.117000		0.000000		-0.183731
0.118000		0.000000		-0.182463
0.119000		0.000000		-0.181214
0.120000		0.000000		-0.179984
0.121000		0.000000		-0.178775
0.122000		0.000000		-0.177586
0.123000		0.000000		-0.176418
0.124000		0.000000		-0.175272
0.125000		0.000000		-0.174148
0.126000		0.000000		-0.173046
0.127000		0.000000		-0.171966
0.128000		0.000000		-0.170909
0.129000		0.000000		-0.169875
0.130000		0.000000		-0.168863
0.131000		0.000000		-0.167875
0.132000		0.000000		-0.166909
0.133000		0.000000		-0.165967
0.134000		0.000000		-0.165047
0.135000		0.000000		-0.164151
0.136000		0.000000		-0.163277
0.137000		0.000000		-0.162426
0.138000		0.000000		-0.161597
0.139000		0.000000		-0.160791
0.140000		0.000000		-0.160007
0.141000		0.000000		-0.159246
0.142000		0.000000		-0.158506
0.143000		0.000000		-0.157787
0.144000		0.000000		-0.157090
0.145000		0.000000		-0.156414
0.146000		0.000000		-0.155758
0.147000		0.000000		-0.155123
0.148000		0.000000		-0.154509
0.149000		0.000000		-0.153914
0.150000		0.000000		-0.153339
0.151000		0.000000		-0.152783
0.152000		0.000000		-0.152245
0.153000		0.000000		-0.151727
0.154000		0.000000		-0.151227
0.155000		0.000000		-0.150745
0.156000		0.000000		-0.150280
0.157000		0.000000		-0.149832
0.158000		0.000000		-0.149402
0.159000		0.000000		-0.148988
0.160000		0.000000		-0.148591
0.161000		0.000000		-0.148209
0.162000		0.000000		-0.147843
0.163000		0.000000		-0.147492
0.164000		0.000000		-0.147157
0.165000		0.000000		-0.146836
0.166000		0.000000		-0.146529
0.167000		0.000000		-0.146236
0.168000		0.000000		-0.145957
0.169000		0.000000		-0.145691
0.170000		0.000000		-0.145439
0.171000		0.000000		-0.145199
0.172000		0.000000		-0.144971
0.173000		0.000000		-0.144756
0.174000		0.000000		-0.144553
0.175000		0.000000		-0.144361
0.176000		0.000000		-0.144181
0.177000		0.000000		-0.144012
0.178000		0.000000		-0.143854
0.179000		0.000000		-0.143706
0.180000		0.000000		-0.143569
0.181000		0.000000		-0.143441
0.182000		0.000000		-0.143324
0.183000		0.000000		-0.143216
0.184000		0.000000		-0.143117
0.185000		0.000000		-0.143028
0.186000		0.000000		-0.142947
0.187000		0.000000		-0.142875
0.188000		0.000000		-0.142811
0.189000		0.000000		-0.142756
0.190000		0.000000		-0.142709
0.191000		0.000000		-0.142670
0.192000		0.000000		-0.142638
0.193000		0.000000		-0.142614
0.194000		0.000000		-0.142597
0.195000		0.000000		-0.142587
0.196000		0.000000		-0.142584
0.197000		0.000000		-0.142587
0.198000		0.000000		-0.142598
0.199000		0.000000		-0.142614
0.200000		0.000000		-0.142637
0.100000		0.010000		-0.207311
0.101000		0.010000		-0.205881
0.102000		0.010000		-0.204449
0.103000		0.010000		-0.203017
0.104000		0.010000		-0.201586
0.105000		0.010000		-0.200158
0.106000		0.010000		-0.198735
0.107000		0.010000		-0.197318
0.108000		0.010000		-0.195909
0.109000		0.010000		-0.194509
0.110000		0.010000		-0.193119
0.111000		0.010000		-0.191741
0.112000		0.010000		-0.190376
0.113000		0.010000		-0.189024
0.114000		0.010000		-0.187688
0.115000		0.010000		-0.186367
0.116000		0.010000		-0.185063
0.117000		0.010000		-0.183776
0.118000		0.010000		-0.182508
0.119000		0.010000		-0.181259
0.120000		0.010000		-0.180029
0.121000		0.010000		-0.178820
0.122000		0.010000		-0.177631
0.123000		0.010000		-0.176463
0.124000		0.010000		-0.175317
0.125000		0.010000		-0.174193
0.126000		0.010000		-0.173090
0.127000		0.010000		-0.172010
0.128000		0.010000		-0.170953
0.129000		0.010000		-0.169919
0.130000		0.010000		-0.168907
0.131000		0.010000		-0.167918
0.132000		0.010000		-0.166953
0.133000		0.010000		-0.166010
0.134000		0.010000		-0.165090
0.135000		0.010000		-0.164193
0.136000		0.010000		-0.163319
0.137000		0.010000		-0.162468
0.138000		0.010000		-0.161639
0.139000		0.010000		-0.160832
0.140000		0.010000		-0.160048
0.141000		0.010000		-0.159286
0.142000		0.010000		-0.158545
0.143000		0.010000		-0.157826
0.144000		0.010000		-0.157129
0.145000		0.010000		-0.156452
0.146000		0.010000		-0.155797
0.147000		0.010000		-0.155161
0.148000		0.010000		-0.154546
0.149000		0.010000		-0.153951
0.150000		0.010000		-0.153375
0.151000		0.010000		-0.152819
0.152000		0.010000		-0.152281
0.153000		0.010000		-0.151762
0.154000		0.010000		-0.151262
0.155000		0.010000		-0.150779
0.156000		0.010000		-0.150314
0.157000		0.010000		-0.149866
0.158000		0.010000		-0.149435
0.159000		0.010000		-0.149021
0.160000		0.010000		-0.148623
0.161000		0.010000		-0.148241
0.162000		0.010000		-0.147875
0.163000		0.010000		-0.147524
0.164000		0.010000		-0.147188
0.165000		0.010000		-0.146866
0.166000		0.010000		-0.146559
0.167000		0.010000		-0.146266
0.168000		0.010000		-0.145987
0.169000		0.010000		-0.145720
0.170000		0.010000		-0.145468
0.171000		0.010000		-0.145227
0.172000		0.010000		-0.145000
0.173000		0.010000		-0.144784
0.174000		0.010000		-0.144581
0.175000		0.010000		-0.144389
0.176000		0.010000		-0.144208
0.177000		0.010000		-0.144039
0.178000		0.010000		-0.143880
0.179000		0.010000		-0.143732
0.180000		0.010000		-0.143594
0.181000		0.010000		-0.143467
0.182000		0.010000		-0.143349
0.183000		0.010000		-0.143241
0.184000		0.010000		-0.143142
0.185000		0.010000		-0.143052
0.186000		0.010000		-0.142971
0.187000		0.010000		-0.142899
0.188000		0.010000		-0.142835
0.189000		0.010000		-0.142780
0.190000		0.010000		-0.142732
0.191000		0.010000		-0.142693
0.192000		0.010000		-0.142661
