101
81
T [GeV]		muB [GeV]		G [1]
0.100000		0.000000		0.000298
0.101000		0.000000		0.000315
0.102000		0.000000		0.000333
0.103000		0.000000		0.000351
0.104000		0.000000		0.000369
0.105000		0.000000		0.000388
0.106000		0.000000		0.000406
0.107000		0.000000		0.000425
0.108000		0.000000		0.000445
0.109000		0.000000		0.000464
0.110000		0.000000		0.000483
0.111000		0.000000		0.000503
0.112000		0.000000		0.000523
0.113000		0.000000		0.000542
0.114000		0.000000		0.000562
0.115000		0.000000		0.000581
0.116000		0.000000		0.000601
0.117000		0.000000		0.000620
0.118000		0.000000		0.000640
0.119000		0.000000		0.000659
0.120000		0.000000		0.000678
0.121000		0.000000		0.000697
0.122000		0.000000		0.000715
0.123000		0.000000		0.000734
0.124000		0.000000		0.000752
0.125000		0.000000		0.000770
0.126000		0.000000		0.000788
0.127000		0.000000		0.000805
0.128000		0.000000		0.000822
0.129000		0.000000		0.000839
0.130000		0.000000		0.000856
0.131000		0.000000		0.000872
0.132000		0.000000		0.000888
0.133000		0.000000		0.000903
0.134000		0.000000		0.000918
0.135000		0.000000		0.000933
0.136000		0.000000		0.000947
0.137000		0.000000		0.000961
0.138000		0.000000		0.000975
0.139000		0.000000		0.000989
0.140000		0.000000		0.001001
0.141000		0.000000		0.001014
0.142000		0.000000		0.001026
0.143000		0.000000		0.001038
0.144000		0.000000		0.001050
0.145000		0.000000		0.001061
0.146000		0.000000		0.001072
0.147000		0.000000		0.001082
0.148000		0.000000		0.001092
0.149000		0.000000		0.001102
0.150000		0.000000		0.001111
0.151000		0.000000		0.001120
0.152000		0.000000		0.001129
0.153000		0.000000		0.001137
0.154000		0.000000		0.001145
0.155000		0.000000		0.001153
0.156000		0.000000		0.001161
0.157000		0.000000		0.001168
0.158000		0.000000		0.001175
0.159000		0.000000		0.001181
0.160000		0.000000		0.001187
0.161000		0.000000		0.001193
0.162000		0.000000		0.001199
0.163000		0.000000		0.001205
0.164000		0.000000		0.001210
0.165000		0.000000		0.001215
0.166000		0.000000		0.001219
0.167000		0.000000		0.001224
0.168000		0.000000		0.001228
0.169000		0.000000		0.001232
0.170000		0.000000		0.001236
0.171000		0.000000		0.001239
0.172000		0.000000		0.001243
0.173000		0.000000		0.001246
0.174000		0.000000		0.001249
0.175000		0.000000		0.001251
0.176000		0.000000		0.001254
0.177000		0.000000		0.001256
0.178000		0.000000		0.001259
0.179000		0.000000		0.001261
0.180000		0.000000		0.001262
0.181000		0.000000		0.001264
0.182000		0.000000		0.001266
0.183000		0.000000		0.001267
0.184000		0.000000		0.001268
0.185000		0.000000		0.001269
0.186000		0.000000		0.001270
0.187000		0.000000		0.001271
0.188000		0.000000		0.001272
0.189000		0.000000		0.001272
0.190000		0.000000		0.001273
0.191000		0.000000		0.001273
0.192000		0.000000		0.001273
0.193000		0.000000		0.001274
0.194000		0.000000		0.001274
0.195000		0.000000		0.001274
0.196000		0.000000		0.001273
0.197000		0.000000		0.001273
0.198000		0.000000		0.001273
0.199000		0.000000		0.001272
0.200000		0.000000		0.001272
0.100000		0.010000		0.158739
0.101000		0.010000		0.154029
0.102000		0.010000		0.149461
0.103000		0.010000		0.145030
0.104000		0.010000		0.140733
0.105000		0.010000		0.136566
0.106000		0.010000		0.132527
0.107000		0.010000		0.128611
0.108000		0.010000		0.124816
0.109000		0.010000		0.121138
0.110000		0.010000		0.117574
0.111000		0.010000		0.114120
0.112000		0.010000		0.110775
0.113000		0.010000		0.107534
0.114000		0.010000		0.104396
0.115000		0.010000		0.101356
0.116000		0.010000		0.098413
0.117000		0.010000		0.095563
0.118000		0.010000		0.092805
0.119000		0.010000		0.090134
0.120000		0.010000		0.087549
0.121000		0.010000		0.085047
0.122000		0.010000		0.082626
0.123000		0.010000		0.080282
0.124000		0.010000		0.078015
0.125000		0.010000		0.075821
0.126000		0.010000		0.073698
0.127000		0.010000		0.071645
0.128000		0.010000		0.069658
0.129000		0.010000		0.067736
0.130000		0.010000		0.065877
0.131000		0.010000		0.064079
0.132000		0.010000		0.062339
0.133000		0.010000		0.060657
0.134000		0.010000		0.059029
0.135000		0.010000		0.057455
0.136000		0.010000		0.055933
0.137000		0.010000		0.054460
0.138000		0.010000		0.053035
0.139000		0.010000		0.051657
0.140000		0.010000		0.050325
0.141000		0.010000		0.049035
0.142000		0.010000		0.047788
0.143000		0.010000		0.046582
0.144000		0.010000		0.045414
0.145000		0.010000		0.044285
0.146000		0.010000		0.043193
0.147000		0.010000		0.042135
0.148000		0.010000		0.041113
0.149000		0.010000		0.040123
0.150000		0.010000		0.039165
0.151000		0.010000		0.038238
0.152000		0.010000		0.037340
0.153000		0.010000		0.036471
0.154000		0.010000		0.035630
0.155000		0.010000		0.034816
0.156000		0.010000		0.034028
0.157000		0.010000		0.033264
0.158000		0.010000		0.032525
0.159000		0.010000		0.031809
0.160000		0.010000		0.031115
0.161000		0.010000		0.030443
0.162000		0.010000		0.029792
0.163000		0.010000		0.029161
0.164000		0.010000		0.028550
0.165000		0.010000		0.027957
0.166000		0.010000		0.027383
0.167000		0.010000		0.026825
0.168000		0.010000		0.026285
0.169000		0.010000		0.025762
0.170000		0.010000		0.025254
0.171000		0.010000		0.024761
0.172000		0.010000		0.024283
0.173000		0.010000		0.023819
0.174000		0.010000		0.023369
0.175000		0.010000		0.022932
0.176000		0.010000		0.022508
0.177000		0.010000		0.022096
0.178000		0.010000		0.021696
0.179000		0.010000		0.021307
0.180000		0.010000		0.020930
0.181000		0.010000		0.020564
0.182000		0.010000		0.020208
0.183000		0.010000		0.019861
0.184000		0.010000		0.019525
0.185000		0.010000		0.019198
0.186000		0.010000		0.018880
0.187000		0.010000		0.018571
0.188000		0.010000		0.018270
0.189000		0.010000		0.017978
0.190000		0.010000		0.017693
0.191000		0.010000		0.017416
0.192000		0.010000		0.017147
0.193000		0.010000		0.016885
0.194000		0.010000		0.016629
0.195000		0.010000		0.016381
0.196000		0.010000		0.016138
0.197000		0.010000		0.015903
0.198000		0.010000		0.015673
0.199000		0.010000		0.015449
0.200000		0.010000		0.015231
0.100000		0.020000		0.314326
0.101000		0.020000		0.305043
0.102000		0.020000		0.296033
0.103000		0.020000		0.287291
0.104000		0.020000		0.278809
0.105000		0.020000		0.270581
0.106000		0.020000		0.262600
0.107000		0.020000		0.254859
0.108000		0.020000		0.247354
0.109000		0.020000		0.240077
0.110000		0.020000		0.233023
0.111000		0.020000		0.226185
0.112000		0.020000		0.219558
0.113000		0.020000		0.213136
0.114000		0.020000		0.206914
0.115000		0.020000		0.200886
0.116000		0.020000		0.195047
0.117000		0.020000		0.189391
0.118000		0.020000		0.183914
0.119000		0.020000		0.178610
0.120000		0.020000		0.173474
0.121000		0.020000		0.168501
0.122000		0.020000		0.163687
0.123000		0.020000		0.159028
0.124000		0.020000		0.154517
0.125000		0.020000		0.150152
0.126000		0.020000		0.145927
0.127000		0.020000		0.141838
0.128000		0.020000		0.137882
0.129000		0.020000		0.134053
0.130000		0.020000		0.130349
0.131000		0.020000		0.126765
0.132000		0.020000		0.123297
0.133000		0.020000		0.119942
0.134000		0.020000		0.116696
0.135000		0.020000		0.113556
0.136000		0.020000		0.110518
0.137000		0.020000		0.107579
0.138000		0.020000		0.104736
0.139000		0.020000		0.101985
0.140000		0.020000		0.099324
0.141000		0.020000		0.096749
0.142000		0.020000		0.094258
0.143000		0.020000		0.091848
0.144000		0.020000		0.089516
0.145000		0.020000		0.087260
0.146000		0.020000		0.085076
0.147000		0.020000		0.082963
0.148000		0.020000		0.080919
0.149000		0.020000		0.078940
0.150000		0.020000		0.077024
0.151000		0.020000		0.075171
0.152000		0.020000		0.073376
0.153000		0.020000		0.071639
0.154000		0.020000		0.069957
0.155000		0.020000		0.068328
0.156000		0.020000		0.066751
0.157000		0.020000		0.065224
0.158000		0.020000		0.063745
0.159000		0.020000		0.062313
0.160000		0.020000		0.060925
0.161000		0.020000		0.059581
0.162000		0.020000		0.058278
0.163000		0.020000		0.057016
0.164000		0.020000		0.055793
0.165000		0.020000		0.054607
0.166000		0.020000		0.053457
0.167000		0.020000		0.052343
