101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		9.305150
0.101000		0.000000		9.598090
0.102000		0.000000		9.896340
0.103000		0.000000		10.199887
0.104000		0.000000		10.508722
0.105000		0.000000		10.822842
0.106000		0.000000		11.142244
0.107000		0.000000		11.466934
0.108000		0.000000		11.796918
0.109000		0.000000		12.132209
0.110000		0.000000		12.472826
0.111000		0.000000		12.818788
0.112000		0.000000		13.170124
0.113000		0.000000		13.526865
0.114000		0.000000		13.889048
0.115000		0.000000		14.256715
0.116000		0.000000		14.629913
0.117000		0.000000		15.008693
0.118000		0.000000		15.393112
0.119000		0.000000		15.783233
0.120000		0.000000		16.179122
0.121000		0.000000		16.580851
0.122000		0.000000		16.988497
0.123000		0.000000		17.402141
0.124000		0.000000		17.821870
0.125000		0.000000		18.247774
0.126000		0.000000		18.679948
0.127000		0.000000		19.118492
0.128000		0.000000		19.563509
0.129000		0.000000		20.015109
0.130000		0.000000		20.473401
0.131000		0.000000		20.938503
0.132000		0.000000		21.410534
0.133000		0.000000		21.889616
0.134000		0.000000		22.375875
0.135000		0.000000		22.869441
0.136000		0.000000		23.370446
0.137000		0.000000		23.879025
0.138000		0.000000		24.395315
0.139000		0.000000		24.919458
0.140000		0.000000		25.451596
0.141000		0.000000		25.991872
0.142000		0.000000		26.540434
0.143000		0.000000		27.097430
0.144000		0.000000		27.663009
0.145000		0.000000		28.237323
0.146000		0.000000		28.820523
0.147000		0.000000		29.412764
0.148000		0.000000		30.014200
0.149000		0.000000		30.624984
0.150000		0.000000		31.245273
0.151000		0.000000		31.875222
0.152000		0.000000		32.514988
0.153000		0.000000		33.164725
0.154000		0.000000		33.824589
0.155000		0.000000		34.494736
0.156000		0.000000		35.175321
0.157000		0.000000		35.866498
0.158000		0.000000		36.568420
0.159000		0.000000		37.281240
0.160000		0.000000		38.005109
0.161000		0.000000		38.740178
0.162000		0.000000		39.486596
0.163000		0.000000		40.244511
0.164000		0.000000		41.014067
0.165000		0.000000		41.795410
0.166000		0.000000		42.588683
0.167000		0.000000		43.394025
0.168000		0.000000		44.211576
0.169000		0.000000		45.041472
0.170000		0.000000		45.883847
0.171000		0.000000		46.738833
0.172000		0.000000		47.606560
0.173000		0.000000		48.487154
0.174000		0.000000		49.380741
0.175000		0.000000		50.287441
0.176000		0.000000		51.207375
0.177000		0.000000		52.140658
0.178000		0.000000		53.087404
0.179000		0.000000		54.047722
0.180000		0.000000		55.021721
0.181000		0.000000		56.009505
0.182000		0.000000		57.011174
0.183000		0.000000		58.026827
0.184000		0.000000		59.056559
0.185000		0.000000		60.100461
0.186000		0.000000		61.158620
0.187000		0.000000		62.231123
0.188000		0.000000		63.318050
0.189000		0.000000		64.419479
0.190000		0.000000		65.535485
0.191000		0.000000		66.666138
0.192000		0.000000		67.811505
0.193000		0.000000		68.971652
0.194000		0.000000		70.146638
0.195000		0.000000		71.336519
0.196000		0.000000		72.541349
0.197000		0.000000		73.761178
0.198000		0.000000		74.996050
0.199000		0.000000		76.246009
0.200000		0.000000		77.511092
0.100000		0.010000		9.301482
0.101000		0.010000		9.594325
0.102000		0.010000		9.892483
0.103000		0.010000		10.195944
0.104000		0.010000		10.504700
0.105000		0.010000		10.818745
0.106000		0.010000		11.138081
0.107000		0.010000		11.462710
0.108000		0.010000		11.792641
0.109000		0.010000		12.127886
0.110000		0.010000		12.468464
0.111000		0.010000		12.814396
0.112000		0.010000		13.165709
0.113000		0.010000		13.522436
0.114000		0.010000		13.884613
0.115000		0.010000		14.252282
0.116000		0.010000		14.625490
0.117000		0.010000		15.004289
0.118000		0.010000		15.388737
0.119000		0.010000		15.778894
0.120000		0.010000		16.174828
0.121000		0.010000		16.576612
0.122000		0.010000		16.984321
0.123000		0.010000		17.398037
0.124000		0.010000		17.817846
0.125000		0.010000		18.243839
0.126000		0.010000		18.676111
0.127000		0.010000		19.114762
0.128000		0.010000		19.559895
0.129000		0.010000		20.011618
0.130000		0.010000		20.470044
0.131000		0.010000		20.935287
0.132000		0.010000		21.407467
0.133000		0.010000		21.886706
0.134000		0.010000		22.373132
0.135000		0.010000		22.866872
0.136000		0.010000		23.368059
0.137000		0.010000		23.876829
0.138000		0.010000		24.393318
0.139000		0.010000		24.917668
0.140000		0.010000		25.450019
0.141000		0.010000		25.990518
0.142000		0.010000		26.539309
0.143000		0.010000		27.096542
0.144000		0.010000		27.662366
0.145000		0.010000		28.236932
0.146000		0.010000		28.820392
0.147000		0.010000		29.412900
0.148000		0.010000		30.014609
0.149000		0.010000		30.625675
0.150000		0.010000		31.246252
0.151000		0.010000		31.876496
0.152000		0.010000		32.516563
0.153000		0.010000		33.166609
0.154000		0.010000		33.826789
0.155000		0.010000		34.497258
0.156000		0.010000		35.178172
0.157000		0.010000		35.869684
0.158000		0.010000		36.571948
0.159000		0.010000		37.285116
0.160000		0.010000		38.009340
0.161000		0.010000		38.744770
0.162000		0.010000		39.491555
0.163000		0.010000		40.249842
0.164000		0.010000		41.019778
0.165000		0.010000		41.801506
0.166000		0.010000		42.595170
0.167000		0.010000		43.400910
0.168000		0.010000		44.218863
0.169000		0.010000		45.049168
0.170000		0.010000		45.891957
0.171000		0.010000		46.747364
0.172000		0.010000		47.615516
0.173000		0.010000		48.496542
0.174000		0.010000		49.390565
0.175000		0.010000		50.297708
0.176000		0.010000		51.218089
0.177000		0.010000		52.151824
0.178000		0.010000		53.099028
0.179000		0.010000		54.059809
0.180000		0.010000		55.034276
0.181000		0.010000		56.022532
0.182000		0.010000		57.024680
0.183000		0.010000		58.040816
0.184000		0.010000		59.071035
0.185000		0.010000		60.115429
0.186000		0.010000		61.174085
0.187000		0.010000		62.247089
0.188000		0.010000		63.334522
0.189000		0.010000		64.436461
0.190000		0.010000		65.552981
0.191000		0.010000		66.684153
0.192000		0.010000		67.830044
0.193000		0.010000		68.990717
0.194000		0.010000		70.166234
0.195000		0.010000		71.356650
0.196000		0.010000		72.562019
0.197000		0.010000		73.782390
0.198000		0.010000		75.017809
0.199000		0.010000		76.268317
0.200000		0.010000		77.533954
0.100000		0.020000		9.290678
0.101000		0.020000		9.583234
0.102000		0.020000		9.881119
0.103000		0.020000		10.184324
0.104000		0.020000		10.492840
0.105000		0.020000		10.806665
0.106000		0.020000		11.125799
0.107000		0.020000		11.450247
0.108000		0.020000		11.780017
0.109000		0.020000		12.115124
0.110000		0.020000		12.455586
0.111000		0.020000		12.801424
0.112000		0.020000		13.152668
0.113000		0.020000		13.509349
0.114000		0.020000		13.871504
0.115000		0.020000		14.239177
0.116000		0.020000		14.612414
0.117000		0.020000		14.991267
0.118000		0.020000		15.375794
0.119000		0.020000		15.766057
0.120000		0.020000		16.162123
0.121000		0.020000		16.564063
0.122000		0.020000		16.971955
0.123000		0.020000		17.385880
0.124000		0.020000		17.805925
0.125000		0.020000		18.232178
0.126000		0.020000		18.664737
0.127000		0.020000		19.103700
0.128000		0.020000		19.549171
0.129000		0.020000		20.001257
0.130000		0.020000		20.460070
0.131000		0.020000		20.925726
0.132000		0.020000		21.398343
0.133000		0.020000		21.878045
0.134000		0.020000		22.364956
0.135000		0.020000		22.859206
0.136000		0.020000		23.360926
0.137000		0.020000		23.870253
0.138000		0.020000		24.387322
0.139000		0.020000		24.912274
0.140000		0.020000		25.445250
0.141000		0.020000		25.986396
0.142000		0.020000		26.535857
0.143000		0.020000		27.093781
0.144000		0.020000		27.660317
0.145000		0.020000		28.235616
0.146000		0.020000		28.819830
0.147000		0.020000		29.413112
0.148000		0.020000		30.015616
0.149000		0.020000		30.627497
0.150000		0.020000		31.248908
0.151000		0.020000		31.880007
0.152000		0.020000		32.520947
0.153000		0.020000		33.171885
0.154000		0.020000		33.832976
0.155000		0.020000		34.504375
0.156000		0.020000		35.186236
