101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		29.369374
0.101000		0.000000		29.817707
0.102000		0.000000		30.274636
0.103000		0.000000		30.740515
0.104000		0.000000		31.215701
0.105000		0.000000		31.700558
0.106000		0.000000		32.195453
0.107000		0.000000		32.700758
0.108000		0.000000		33.216853
0.109000		0.000000		33.744118
0.110000		0.000000		34.282943
0.111000		0.000000		34.833722
0.112000		0.000000		35.396852
0.113000		0.000000		35.972738
0.114000		0.000000		36.561790
0.115000		0.000000		37.164425
0.116000		0.000000		37.781062
0.117000		0.000000		38.412128
0.118000		0.000000		39.058057
0.119000		0.000000		39.719286
0.120000		0.000000		40.396259
0.121000		0.000000		41.089426
0.122000		0.000000		41.799242
0.123000		0.000000		42.526169
0.124000		0.000000		43.270673
0.125000		0.000000		44.033226
0.126000		0.000000		44.814307
0.127000		0.000000		45.614400
0.128000		0.000000		46.433993
0.129000		0.000000		47.273581
0.130000		0.000000		48.133664
0.131000		0.000000		49.014748
0.132000		0.000000		49.917342
0.133000		0.000000		50.841963
0.134000		0.000000		51.789130
0.135000		0.000000		52.759370
0.136000		0.000000		53.753213
0.137000		0.000000		54.771194
0.138000		0.000000		55.813852
0.139000		0.000000		56.881730
0.140000		0.000000		57.975378
0.141000		0.000000		59.095347
0.142000		0.000000		60.242193
0.143000		0.000000		61.416476
0.144000		0.000000		62.618760
0.145000		0.000000		63.849611
0.146000		0.000000		65.109600
0.147000		0.000000		66.399299
0.148000		0.000000		67.719286
0.149000		0.000000		69.070138
0.150000		0.000000		70.452437
0.151000		0.000000		71.866767
0.152000		0.000000		73.313713
0.153000		0.000000		74.793862
0.154000		0.000000		76.307805
0.155000		0.000000		77.856132
0.156000		0.000000		79.439434
0.157000		0.000000		81.058305
0.158000		0.000000		82.713340
0.159000		0.000000		84.405131
0.160000		0.000000		86.134275
0.161000		0.000000		87.901367
0.162000		0.000000		89.707001
0.163000		0.000000		91.551773
0.164000		0.000000		93.436276
0.165000		0.000000		95.361106
0.166000		0.000000		97.326855
0.167000		0.000000		99.334113
0.168000		0.000000		101.383473
0.169000		0.000000		103.475523
0.170000		0.000000		105.610849
0.171000		0.000000		107.790038
0.172000		0.000000		110.013672
0.173000		0.000000		112.282332
0.174000		0.000000		114.596595
0.175000		0.000000		116.957038
0.176000		0.000000		119.364232
0.177000		0.000000		121.818746
0.178000		0.000000		124.321146
0.179000		0.000000		126.871994
0.180000		0.000000		129.471849
0.181000		0.000000		132.121264
0.182000		0.000000		134.820789
0.183000		0.000000		137.570972
0.184000		0.000000		140.372352
0.185000		0.000000		143.225466
0.186000		0.000000		146.130847
0.187000		0.000000		149.089020
0.188000		0.000000		152.100508
0.189000		0.000000		155.165826
0.190000		0.000000		158.285485
0.191000		0.000000		161.459991
0.192000		0.000000		164.689842
0.193000		0.000000		167.975532
0.194000		0.000000		171.317547
0.195000		0.000000		174.716369
0.196000		0.000000		178.172473
0.197000		0.000000		181.686325
0.198000		0.000000		185.258389
0.199000		0.000000		188.889118
0.200000		0.000000		192.578960
0.100000		0.010000		29.370980
0.101000		0.010000		29.819436
0.102000		0.010000		30.276495
0.103000		0.010000		30.742511
0.104000		0.010000		31.217842
0.105000		0.010000		31.702851
0.106000		0.010000		32.197906
0.107000		0.010000		32.703380
0.108000		0.010000		33.219651
0.109000		0.010000		33.747102
0.110000		0.010000		34.286120
0.111000		0.010000		34.837101
0.112000		0.010000		35.400443
0.113000		0.010000		35.976551
0.114000		0.010000		36.565835
0.115000		0.010000		37.168710
0.116000		0.010000		37.785599
0.117000		0.010000		38.416927
0.118000		0.010000		39.063128
0.119000		0.010000		39.724641
0.120000		0.010000		40.401908
0.121000		0.010000		41.095381
0.122000		0.010000		41.805515
0.123000		0.010000		42.532772
0.124000		0.010000		43.277617
0.125000		0.010000		44.040525
0.126000		0.010000		44.821973
0.127000		0.010000		45.622445
0.128000		0.010000		46.442430
0.129000		0.010000		47.282424
0.130000		0.010000		48.142927
0.131000		0.010000		49.024443
0.132000		0.010000		49.927485
0.133000		0.010000		50.852567
0.134000		0.010000		51.800210
0.135000		0.010000		52.770941
0.136000		0.010000		53.765289
0.137000		0.010000		54.783790
0.138000		0.010000		55.826983
0.139000		0.010000		56.895413
0.140000		0.010000		57.989627
0.141000		0.010000		59.110178
0.142000		0.010000		60.257623
0.143000		0.010000		61.432522
0.144000		0.010000		62.635437
0.145000		0.010000		63.866936
0.146000		0.010000		65.127590
0.147000		0.010000		66.417972
0.148000		0.010000		67.738658
0.149000		0.010000		69.090227
0.150000		0.010000		70.473260
0.151000		0.010000		71.888342
0.152000		0.010000		73.336057
0.153000		0.010000		74.816995
0.154000		0.010000		76.331744
0.155000		0.010000		77.880894
0.156000		0.010000		79.465040
0.157000		0.010000		81.084772
0.158000		0.010000		82.740687
0.159000		0.010000		84.433377
0.160000		0.010000		86.163439
0.161000		0.010000		87.931468
0.162000		0.010000		89.738058
0.163000		0.010000		91.583805
0.164000		0.010000		93.469304
0.165000		0.010000		95.395148
0.166000		0.010000		97.361930
0.167000		0.010000		99.370243
0.168000		0.010000		101.420676
0.169000		0.010000		103.513818
0.170000		0.010000		105.650258
0.171000		0.010000		107.830579
0.172000		0.010000		110.055366
0.173000		0.010000		112.325198
0.174000		0.010000		114.640654
0.175000		0.010000		117.002309
0.176000		0.010000		119.410736
0.177000		0.010000		121.866503
0.178000		0.010000		124.370176
0.179000		0.010000		126.922318
0.180000		0.010000		129.523486
0.181000		0.010000		132.174234
0.182000		0.010000		134.875113
0.183000		0.010000		137.626669
0.184000		0.010000		140.429443
0.185000		0.010000		143.283971
0.186000		0.010000		146.190785
0.187000		0.010000		149.150413
0.188000		0.010000		152.163374
0.189000		0.010000		155.230186
0.190000		0.010000		158.351359
0.191000		0.010000		161.527398
0.192000		0.010000		164.758802
0.193000		0.010000		168.046065
0.194000		0.010000		171.389672
0.195000		0.010000		174.790106
0.196000		0.010000		178.247841
0.197000		0.010000		181.763344
0.198000		0.010000		185.337077
0.199000		0.010000		188.969495
0.200000		0.010000		192.661045
0.100000		0.020000		29.375807
0.101000		0.020000		29.824633
0.102000		0.020000		30.282083
0.103000		0.020000		30.748510
0.104000		0.020000		31.224275
0.105000		0.020000		31.709740
0.106000		0.020000		32.205274
0.107000		0.020000		32.711251
0.108000		0.020000		33.228050
0.109000		0.020000		33.756054
0.110000		0.020000		34.295652
0.111000		0.020000		34.847238
0.112000		0.020000		35.411214
0.113000		0.020000		35.987982
0.114000		0.020000		36.577956
0.115000		0.020000		37.181550
0.116000		0.020000		37.799188
0.117000		0.020000		38.431296
0.118000		0.020000		39.078309
0.119000		0.020000		39.740664
0.120000		0.020000		40.418808
0.121000		0.020000		41.113191
0.122000		0.020000		41.824268
0.123000		0.020000		42.552502
0.124000		0.020000		43.298361
