101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.550990
0.101000		0.000000		-0.523711
0.102000		0.000000		-0.498075
0.103000		0.000000		-0.473963
0.104000		0.000000		-0.451268
0.105000		0.000000		-0.429891
0.106000		0.000000		-0.409741
0.107000		0.000000		-0.390735
0.108000		0.000000		-0.372795
0.109000		0.000000		-0.355850
0.110000		0.000000		-0.339834
0.111000		0.000000		-0.324688
0.112000		0.000000		-0.310353
0.113000		0.000000		-0.296780
0.114000		0.000000		-0.283918
0.115000		0.000000		-0.271725
0.116000		0.000000		-0.260159
0.117000		0.000000		-0.249181
0.118000		0.000000		-0.238755
0.119000		0.000000		-0.228849
0.120000		0.000000		-0.219433
0.121000		0.000000		-0.210476
0.122000		0.000000		-0.201953
0.123000		0.000000		-0.193839
0.124000		0.000000		-0.186110
0.125000		0.000000		-0.178745
0.126000		0.000000		-0.171724
0.127000		0.000000		-0.165027
0.128000		0.000000		-0.158638
0.129000		0.000000		-0.152539
0.130000		0.000000		-0.146715
0.131000		0.000000		-0.141151
0.132000		0.000000		-0.135835
0.133000		0.000000		-0.130752
0.134000		0.000000		-0.125892
0.135000		0.000000		-0.121242
0.136000		0.000000		-0.116793
0.137000		0.000000		-0.112534
0.138000		0.000000		-0.108456
0.139000		0.000000		-0.104549
0.140000		0.000000		-0.100807
0.141000		0.000000		-0.097220
0.142000		0.000000		-0.093781
0.143000		0.000000		-0.090484
0.144000		0.000000		-0.087321
0.145000		0.000000		-0.084287
0.146000		0.000000		-0.081375
0.147000		0.000000		-0.078580
0.148000		0.000000		-0.075897
0.149000		0.000000		-0.073320
0.150000		0.000000		-0.070845
0.151000		0.000000		-0.068467
0.152000		0.000000		-0.066181
0.153000		0.000000		-0.063985
0.154000		0.000000		-0.061874
0.155000		0.000000		-0.059843
0.156000		0.000000		-0.057891
0.157000		0.000000		-0.056013
0.158000		0.000000		-0.054206
0.159000		0.000000		-0.052467
0.160000		0.000000		-0.050793
0.161000		0.000000		-0.049182
0.162000		0.000000		-0.047632
0.163000		0.000000		-0.046138
0.164000		0.000000		-0.044700
0.165000		0.000000		-0.043314
0.166000		0.000000		-0.041979
0.167000		0.000000		-0.040693
0.168000		0.000000		-0.039453
0.169000		0.000000		-0.038258
0.170000		0.000000		-0.037105
0.171000		0.000000		-0.035995
0.172000		0.000000		-0.034923
0.173000		0.000000		-0.033890
0.174000		0.000000		-0.032893
0.175000		0.000000		-0.031931
0.176000		0.000000		-0.031003
0.177000		0.000000		-0.030107
0.178000		0.000000		-0.029242
0.179000		0.000000		-0.028407
0.180000		0.000000		-0.027601
0.181000		0.000000		-0.026822
0.182000		0.000000		-0.026070
0.183000		0.000000		-0.025344
0.184000		0.000000		-0.024642
0.185000		0.000000		-0.023964
0.186000		0.000000		-0.023308
0.187000		0.000000		-0.022675
0.188000		0.000000		-0.022062
0.189000		0.000000		-0.021470
0.190000		0.000000		-0.020897
0.191000		0.000000		-0.020343
0.192000		0.000000		-0.019807
0.193000		0.000000		-0.019288
0.194000		0.000000		-0.018786
0.195000		0.000000		-0.018301
0.196000		0.000000		-0.017831
0.197000		0.000000		-0.017376
0.198000		0.000000		-0.016935
0.199000		0.000000		-0.016509
0.200000		0.000000		-0.016095
0.100000		0.010000		-0.551248
0.101000		0.010000		-0.523952
0.102000		0.010000		-0.498298
0.103000		0.010000		-0.474170
0.104000		0.010000		-0.451459
0.105000		0.010000		-0.430068
0.106000		0.010000		-0.409905
0.107000		0.010000		-0.390886
0.108000		0.010000		-0.372934
0.109000		0.010000		-0.355978
0.110000		0.010000		-0.339952
0.111000		0.010000		-0.324795
0.112000		0.010000		-0.310452
0.113000		0.010000		-0.296869
0.114000		0.010000		-0.284000
0.115000		0.010000		-0.271799
0.116000		0.010000		-0.260226
0.117000		0.010000		-0.249241
0.118000		0.010000		-0.238810
0.119000		0.010000		-0.228898
0.120000		0.010000		-0.219476
0.121000		0.010000		-0.210515
0.122000		0.010000		-0.201987
0.123000		0.010000		-0.193869
0.124000		0.010000		-0.186136
0.125000		0.010000		-0.178767
0.126000		0.010000		-0.171743
0.127000		0.010000		-0.165043
0.128000		0.010000		-0.158651
0.129000		0.010000		-0.152549
0.130000		0.010000		-0.146723
0.131000		0.010000		-0.141157
0.132000		0.010000		-0.135839
0.133000		0.010000		-0.130755
0.134000		0.010000		-0.125893
0.135000		0.010000		-0.121241
0.136000		0.010000		-0.116791
0.137000		0.010000		-0.112530
0.138000		0.010000		-0.108451
0.139000		0.010000		-0.104544
0.140000		0.010000		-0.100800
0.141000		0.010000		-0.097212
0.142000		0.010000		-0.093773
0.143000		0.010000		-0.090475
0.144000		0.010000		-0.087312
0.145000		0.010000		-0.084277
0.146000		0.010000		-0.081365
0.147000		0.010000		-0.078569
0.148000		0.010000		-0.075886
0.149000		0.010000		-0.073309
0.150000		0.010000		-0.070833
0.151000		0.010000		-0.068455
0.152000		0.010000		-0.066170
0.153000		0.010000		-0.063973
0.154000		0.010000		-0.061862
0.155000		0.010000		-0.059831
0.156000		0.010000		-0.057879
0.157000		0.010000		-0.056001
0.158000		0.010000		-0.054194
0.159000		0.010000		-0.052455
0.160000		0.010000		-0.050781
0.161000		0.010000		-0.049171
0.162000		0.010000		-0.047620
0.163000		0.010000		-0.046126
0.164000		0.010000		-0.044688
0.165000		0.010000		-0.043303
0.166000		0.010000		-0.041968
0.167000		0.010000		-0.040681
0.168000		0.010000		-0.039442
0.169000		0.010000		-0.038247
0.170000		0.010000		-0.037095
0.171000		0.010000		-0.035984
0.172000		0.010000		-0.034913
0.173000		0.010000		-0.033880
0.174000		0.010000		-0.032883
0.175000		0.010000		-0.031921
0.176000		0.010000		-0.030993
0.177000		0.010000		-0.030098
0.178000		0.010000		-0.029233
0.179000		0.010000		-0.028398
0.180000		0.010000		-0.027592
0.181000		0.010000		-0.026814
0.182000		0.010000		-0.026062
0.183000		0.010000		-0.025336
0.184000		0.010000		-0.024634
0.185000		0.010000		-0.023956
0.186000		0.010000		-0.023301
0.187000		0.010000		-0.022667
0.188000		0.010000		-0.022055
0.189000		0.010000		-0.021462
0.190000		0.010000		-0.020890
0.191000		0.010000		-0.020336
0.192000		0.010000		-0.019800
0.193000		0.010000		-0.019282
0.194000		0.010000		-0.018780
0.195000		0.010000		-0.018295
0.196000		0.010000		-0.017825
0.197000		0.010000		-0.017370
0.198000		0.010000		-0.016929
0.199000		0.010000		-0.016503
0.200000		0.010000		-0.016090
0.100000		0.020000		-0.552010
0.101000		0.020000		-0.524660
0.102000		0.020000		-0.498956
0.103000		0.020000		-0.474780
0.104000		0.020000		-0.452025
0.105000		0.020000		-0.430592
0.106000		0.020000		-0.410389
0.107000		0.020000		-0.391332
0.108000		0.020000		-0.373345
0.109000		0.020000		-0.356356
0.110000		0.020000		-0.340299
0.111000		0.020000		-0.325113
0.112000		0.020000		-0.310742
0.113000		0.020000		-0.297134
0.114000		0.020000		-0.284241
0.115000		0.020000		-0.272018
0.116000		0.020000		-0.260424
0.117000		0.020000		-0.249420
0.118000		0.020000		-0.238970
0.119000		0.020000		-0.229042
0.120000		0.020000		-0.219604
0.121000		0.020000		-0.210628
0.122000		0.020000		-0.202087
0.123000		0.020000		-0.193957
0.124000		0.020000		-0.186212
0.125000		0.020000		-0.178833
0.126000		0.020000		-0.171799
0.127000		0.020000		-0.165090
0.128000		0.020000		-0.158689
0.129000		0.020000		-0.152580
0.130000		0.020000		-0.146747
0.131000		0.020000		-0.141175
0.132000		0.020000		-0.135850
0.133000		0.020000		-0.130760
0.134000		0.020000		-0.125893
0.135000		0.020000		-0.121238
0.136000		0.020000		-0.116783
0.137000		0.020000		-0.112519
0.138000		0.020000		-0.108436
0.139000		0.020000		-0.104526
0.140000		0.020000		-0.100780
0.141000		0.020000		-0.097189
0.142000		0.020000		-0.093748
0.143000		0.020000		-0.090448
0.144000		0.020000		-0.087283
0.145000		0.020000		-0.084247
0.146000		0.020000		-0.081333
0.147000		0.020000		-0.078537
0.148000		0.020000		-0.075852
0.149000		0.020000		-0.073274
0.150000		0.020000		-0.070798
0.151000		0.020000		-0.068420
0.152000		0.020000		-0.066134
0.153000		0.020000		-0.063937
0.154000		0.020000		-0.061825
0.155000		0.020000		-0.059795
0.156000		0.020000		-0.057842
0.157000		0.020000		-0.055964
0.158000		0.020000		-0.054157
0.159000		0.020000		-0.052419
0.160000		0.020000		-0.050746
0.161000		0.020000		-0.049135
0.162000		0.020000		-0.047584
0.163000		0.020000		-0.046091
0.164000		0.020000		-0.044653
0.165000		0.020000		-0.043268
0.166000		0.020000		-0.041934
0.167000		0.020000		-0.040648
0.168000		0.020000		-0.039409
0.169000		0.020000		-0.038215
0.170000		0.020000		-0.037063
0.171000		0.020000		-0.035953
0.172000		0.020000		-0.034882
0.173000		0.020000		-0.033850
0.174000		0.020000		-0.032853
0.175000		0.020000		-0.031892
0.176000		0.020000		-0.030965
0.177000		0.020000		-0.030070
0.178000		0.020000		-0.029206
0.179000		0.020000		-0.028371
0.180000		0.020000		-0.027566
0.181000		0.020000		-0.026788
0.182000		0.020000		-0.026037
0.183000		0.020000		-0.025311
0.184000		0.020000		-0.024610
0.185000		0.020000		-0.023932
0.186000		0.020000		-0.023277
0.187000		0.020000		-0.022645
0.188000		0.020000		-0.022033
0.189000		0.020000		-0.021441
0.190000		0.020000		-0.020869
0.191000		0.020000		-0.020315
0.192000		0.020000		-0.019780
0.193000		0.020000		-0.019262
0.194000		0.020000		-0.018761
0.195000		0.020000		-0.018276
0.196000		0.020000		-0.017807
0.197000		0.020000		-0.017352
0.198000		0.020000		-0.016912
0.199000		0.020000		-0.016486
0.200000		0.020000		-0.016073
0.100000		0.030000		-0.553234
0.101000		0.030000		-0.525800
0.102000		0.030000		-0.500015
0.103000		0.030000		-0.475763
0.104000		0.030000		-0.452936
0.105000		0.030000		-0.431434
0.106000		0.030000		-0.411167
0.107000		0.030000		-0.392050
0.108000		0.030000		-0.374007
0.109000		0.030000		-0.356964
0.110000		0.030000		-0.340857
0.111000		0.030000		-0.325624
0.112000		0.030000		-0.311209
0.113000		0.030000		-0.297560
0.114000		0.030000		-0.284628
0.115000		0.030000		-0.272369
0.116000		0.030000		-0.260741
0.117000		0.030000		-0.249706
0.118000		0.030000		-0.239227
0.119000		0.030000		-0.229272
0.120000		0.030000		-0.219809
0.121000		0.030000		-0.210810
0.122000		0.030000		-0.202247
0.123000		0.030000		-0.194096
0.124000		0.030000		-0.186333
0.125000		0.030000		-0.178936
0.126000		0.030000		-0.171886
0.127000		0.030000		-0.165163
0.128000		0.030000		-0.158748
0.129000		0.030000		-0.152627
0.130000		0.030000		-0.146782
0.131000		0.030000		-0.141199
0.132000		0.030000		-0.135865
0.133000		0.030000		-0.130767
0.134000		0.030000		-0.125892
0.135000		0.030000		-0.121229
0.136000		0.030000		-0.116768
0.137000		0.030000		-0.112498
0.138000		0.030000		-0.108409
0.139000		0.030000		-0.104494
0.140000		0.030000		-0.100744
0.141000		0.030000		-0.097149
0.142000		0.030000		-0.093704
0.143000		0.030000		-0.090402
0.144000		0.030000		-0.087234
0.145000		0.030000		-0.084195
0.146000		0.030000		-0.081280
0.147000		0.030000		-0.078482
0.148000		0.030000		-0.075796
0.149000		0.030000		-0.073216
0.150000		0.030000		-0.070739
0.151000		0.030000		-0.068360
0.152000		0.030000		-0.066073
0.153000		0.030000		-0.063876
0.154000		0.030000		-0.061764
0.155000		0.030000		-0.059734
0.156000		0.030000		-0.057781
0.157000		0.030000		-0.055903
0.158000		0.030000		-0.054096
0.159000		0.030000		-0.052358
0.160000		0.030000		-0.050685
0.161000		0.030000		-0.049075
0.162000		0.030000		-0.047525
0.163000		0.030000		-0.046033
0.164000		0.030000		-0.044596
0.165000		0.030000		-0.043211
0.166000		0.030000		-0.041878
0.167000		0.030000		-0.040593
0.168000		0.030000		-0.039354
0.169000		0.030000		-0.038161
0.170000		0.030000		-0.037010
0.171000		0.030000		-0.035901
0.172000		0.030000		-0.034831
0.173000		0.030000		-0.033799
0.174000		0.030000		-0.032804
0.175000		0.030000		-0.031844
0.176000		0.030000		-0.030917
0.177000		0.030000		-0.030023
0.178000		0.030000		-0.029160
0.179000		0.030000		-0.028327
0.180000		0.030000		-0.027522
0.181000		0.030000		-0.026745
0.182000		0.030000		-0.025995
0.183000		0.030000		-0.025270
0.184000		0.030000		-0.024570
0.185000		0.030000		-0.023893
0.186000		0.030000		-0.023239
0.187000		0.030000		-0.022607
0.188000		0.030000		-0.021996
0.189000		0.030000		-0.021405
0.190000		0.030000		-0.020834
0.191000		0.030000		-0.020281
0.192000		0.030000		-0.019747
0.193000		0.030000		-0.019229
0.194000		0.030000		-0.018729
0.195000		0.030000		-0.018245
0.196000		0.030000		-0.017776
0.197000		0.030000		-0.017322
0.198000		0.030000		-0.016883
0.199000		0.030000		-0.016458
0.200000		0.030000		-0.016046
0.100000		0.040000		-0.554859
0.101000		0.040000		-0.527312
0.102000		0.040000		-0.501421
0.103000		0.040000		-0.477068
0.104000		0.040000		-0.454145
0.105000		0.040000		-0.432554
0.106000		0.040000		-0.412201
0.107000		0.040000		-0.393004
0.108000		0.040000		-0.374885
0.109000		0.040000		-0.357771
0.110000		0.040000		-0.341597
0.111000		0.040000		-0.326302
0.112000		0.040000		-0.311828
0.113000		0.040000		-0.298124
0.114000		0.040000		-0.285141
0.115000		0.040000		-0.272834
0.116000		0.040000		-0.261161
0.117000		0.040000		-0.250083
0.118000		0.040000		-0.239565
0.119000		0.040000		-0.229574
0.120000		0.040000		-0.220077
0.121000		0.040000		-0.211046
0.122000		0.040000		-0.202454
0.123000		0.040000		-0.194276
0.124000		0.040000		-0.186488
0.125000		0.040000		-0.179068
0.126000		0.040000		-0.171997
0.127000		0.040000		-0.165253
0.128000		0.040000		-0.158821
0.129000		0.040000		-0.152683
0.130000		0.040000		-0.146823
0.131000		0.040000		-0.141226
0.132000		0.040000		-0.135879
0.133000		0.040000		-0.130769
0.134000		0.040000		-0.125883
0.135000		0.040000		-0.121211
0.136000		0.040000		-0.116740
0.137000		0.040000		-0.112462
0.138000		0.040000		-0.108367
0.139000		0.040000		-0.104445
0.140000		0.040000		-0.100689
0.141000		0.040000		-0.097090
0.142000		0.040000		-0.093640
0.143000		0.040000		-0.090333
0.144000		0.040000		-0.087162
0.145000		0.040000		-0.084121
0.146000		0.040000		-0.081202
0.147000		0.040000		-0.078402
0.148000		0.040000		-0.075714
0.149000		0.040000		-0.073133
0.150000		0.040000		-0.070655
0.151000		0.040000		-0.068274
0.152000		0.040000		-0.065987
0.153000		0.040000		-0.063790
0.154000		0.040000		-0.061677
0.155000		0.040000		-0.059647
0.156000		0.040000		-0.057694
0.157000		0.040000		-0.055816
0.158000		0.040000		-0.054010
0.159000		0.040000		-0.052272
0.160000		0.040000		-0.050600
0.161000		0.040000		-0.048991
0.162000		0.040000		-0.047442
0.163000		0.040000		-0.045950
0.164000		0.040000		-0.044514
0.165000		0.040000		-0.043131
0.166000		0.040000		-0.041798
0.167000		0.040000		-0.040514
0.168000		0.040000		-0.039277
0.169000		0.040000		-0.038085
0.170000		0.040000		-0.036935
0.171000		0.040000		-0.035827
0.172000		0.040000		-0.034759
0.173000		0.040000		-0.033728
0.174000		0.040000		-0.032734
0.175000		0.040000		-0.031776
0.176000		0.040000		-0.030850
0.177000		0.040000		-0.029958
0.178000		0.040000		-0.029096
0.179000		0.040000		-0.028264
0.180000		0.040000		-0.027461
0.181000		0.040000		-0.026685
0.182000		0.040000		-0.025936
0.183000		0.040000		-0.025212
0.184000		0.040000		-0.024513
0.185000		0.040000		-0.023838
0.186000		0.040000		-0.023185
0.187000		0.040000		-0.022554
0.188000		0.040000		-0.021944
0.189000		0.040000		-0.021355
0.190000		0.040000		-0.020785
0.191000		0.040000		-0.020233
0.192000		0.040000		-0.019700
0.193000		0.040000		-0.019184
0.194000		0.040000		-0.018684
0.195000		0.040000		-0.018201
0.196000		0.040000		-0.017734
0.197000		0.040000		-0.017281
0.198000		0.040000		-0.016843
0.199000		0.040000		-0.016418
0.200000		0.040000		-0.016007
0.100000		0.050000		-0.556803
0.101000		0.050000		-0.529122
0.102000		0.050000		-0.503104
0.103000		0.050000		-0.478630
0.104000		0.050000		-0.455594
0.105000		0.050000		-0.433894
0.106000		0.050000		-0.413440
0.107000		0.050000		-0.394146
0.108000		0.050000		-0.375936
0.109000		0.050000		-0.358737
0.110000		0.050000		-0.342482
0.111000		0.050000		-0.327111
0.112000		0.050000		-0.312567
0.113000		0.050000		-0.298796
0.114000		0.050000		-0.285750
0.115000		0.050000		-0.273385
0.116000		0.050000		-0.261658
0.117000		0.050000		-0.250529
0.118000		0.050000		-0.239964
0.119000		0.050000		-0.229928
0.120000		0.050000		-0.220390
0.121000		0.050000		-0.211321
0.122000		0.050000		-0.202694
0.123000		0.050000		-0.194483
0.124000		0.050000		-0.186665
0.125000		0.050000		-0.179217
0.126000		0.050000		-0.172119
0.127000		0.050000		-0.165352
0.128000		0.050000		-0.158898
0.129000		0.050000		-0.152739
0.130000		0.050000		-0.146860
0.131000		0.050000		-0.141247
0.132000		0.050000		-0.135884
0.133000		0.050000		-0.130760
0.134000		0.050000		-0.125861
0.135000		0.050000		-0.121177
0.136000		0.050000		-0.116696
0.137000		0.050000		-0.112409
0.138000		0.050000		-0.108305
0.139000		0.050000		-0.104375
0.140000		0.050000		-0.100612
0.141000		0.050000		-0.097007
0.142000		0.050000		-0.093552
0.143000		0.050000		-0.090240
0.144000		0.050000		-0.087065
0.145000		0.050000		-0.084020
0.146000		0.050000		-0.081099
0.147000		0.050000		-0.078296
0.148000		0.050000		-0.075605
0.149000		0.050000		-0.073023
0.150000		0.050000		-0.070543
0.151000		0.050000		-0.068162
0.152000		0.050000		-0.065874
0.153000		0.050000		-0.063676
0.154000		0.050000		-0.061563
0.155000		0.050000		-0.059533
0.156000		0.050000		-0.057580
0.157000		0.050000		-0.055703
0.158000		0.050000		-0.053898
0.159000		0.050000		-0.052161
0.160000		0.050000		-0.050490
0.161000		0.050000		-0.048881
0.162000		0.050000		-0.047333
0.163000		0.050000		-0.045843
0.164000		0.050000		-0.044408
0.165000		0.050000		-0.043026
0.166000		0.050000		-0.041695
0.167000		0.050000		-0.040413
0.168000		0.050000		-0.039177
0.169000		0.050000		-0.037987
0.170000		0.050000		-0.036839
0.171000		0.050000		-0.035733
0.172000		0.050000		-0.034666
0.173000		0.050000		-0.033637
0.174000		0.050000		-0.032645
0.175000		0.050000		-0.031688
0.176000		0.050000		-0.030764
0.177000		0.050000		-0.029873
0.178000		0.050000		-0.029013
0.179000		0.050000		-0.028183
0.180000		0.050000		-0.027381
0.181000		0.050000		-0.026608
0.182000		0.050000		-0.025860
0.183000		0.050000		-0.025138
0.184000		0.050000		-0.024441
0.185000		0.050000		-0.023767
0.186000		0.050000		-0.023116
0.187000		0.050000		-0.022487
0.188000		0.050000		-0.021878
0.189000		0.050000		-0.021290
0.190000		0.050000		-0.020722
0.191000		0.050000		-0.020172
0.192000		0.050000		-0.019640
0.193000		0.050000		-0.019125
0.194000		0.050000		-0.018627
0.195000		0.050000		-0.018145
0.196000		0.050000		-0.017679
0.197000		0.050000		-0.017228
0.198000		0.050000		-0.016791
0.199000		0.050000		-0.016367
0.200000		0.050000		-0.015958
0.100000		0.060000		-0.558970
0.101000		0.060000		-0.531141
0.102000		0.060000		-0.504982
0.103000		0.060000		-0.480374
0.104000		0.060000		-0.457210
0.105000		0.060000		-0.435390
0.106000		0.060000		-0.414821
0.107000		0.060000		-0.395420
0.108000		0.060000		-0.377107
0.109000		0.060000		-0.359812
0.110000		0.060000		-0.343467
0.111000		0.060000		-0.328011
0.112000		0.060000		-0.313386
0.113000		0.060000		-0.299540
0.114000		0.060000		-0.286424
0.115000		0.060000		-0.273992
0.116000		0.060000		-0.262203
0.117000		0.060000		-0.251018
0.118000		0.060000		-0.240398
0.119000		0.060000		-0.230312
0.120000		0.060000		-0.220728
0.121000		0.060000		-0.211615
