mcid,tau,x,y,eta,E,px,py,pz
  211,5.76143000e-01,7.18327000e+00,2.74748000e+00,7.50000000e-01,3.97774935e-01,1.01775927e-01,-3.56032066e-01,-4.03478780e-02
  211,8.74175000e-01,-6.04161000e+00,-4.65196000e+00,-4.50000000e+00,2.48480511e+01,-7.24405482e-01,-6.23987590e-01,-2.48292573e+01
  211,9.24921000e-01,3.49594000e+00,-6.70039000e+00,1.50000000e+00,2.92266464e+00,1.97766545e-01,-2.76587478e-01,2.89946142e+00
  211,9.75641000e-01,-5.94631000e+00,4.73036000e+00,-1.50000000e+00,2.19513118e-01,1.74301830e-02,-1.58390632e-01,5.75744544e-02
  211,1.12527000e+00,-5.73864000e+00,4.92905000e+00,-7.50000000e-01,1.22389412e+00,-6.78326694e-02,5.17061874e-01,-1.09840004e+00
  211,1.12493000e+00,2.50023000e+00,7.12396000e+00,-1.50000000e+00,6.86756730e-01,3.38537956e-01,-8.80803150e-02,-5.74272560e-01
  211,1.27500000e+00,-7.58227000e+00,2.99973000e-01,-4.50000000e+00,1.63660583e+01,-1.34725131e-01,-1.16432494e-01,-1.63644943e+01
  211,1.47592000e+00,4.06092000e+00,6.44115000e+00,2.75000000e+00,4.88597775e+00,5.02863364e-01,3.11036332e-01,4.84805970e+00
  211,1.47500000e+00,7.58842000e+00,7.00045000e-01,-2.00000000e+00,1.08066344e+00,1.87223656e-01,-3.69442451e-01,-9.88338621e-01
  211,1.97573000e+00,4.87288000e+00,-6.06251000e+00,2.50000000e-01,5.08990347e-01,-4.27135253e-02,-3.98965028e-01,2.80345985e-01
  211,2.07497000e+00,-7.48200000e+00,-2.30065000e+00,-3.00000000e+00,4.06018782e+00,-4.09858271e-01,-3.80184247e-01,-4.01909448e+00
  211,2.07495000e+00,-7.26589000e+00,2.90078000e+00,-3.25000000e+00,1.75770617e+00,-1.82735949e-01,-5.84055525e-02,-1.74162212e+00
  211,2.07376000e+00,6.36342000e+00,-4.54078000e+00,1.50000000e+00,3.12765026e+00,1.35949969e+00,-1.50024587e+00,2.37986110e+00
  211,2.08420000e+00,7.80781000e+00,2.73127000e-01,-2.00000000e+00,3.90560842e+00,8.53348958e-01,-4.45617609e-01,-3.78252786e+00
  211,2.17461000e+00,7.78699000e+00,-1.10166000e+00,2.75000000e+00,2.78982425e+00,1.68071653e-01,-3.64860109e-01,2.75722125e+00
  211,2.37497000e+00,3.50039000e+00,7.12708000e+00,-2.25000000e+00,3.25001955e+00,6.10566868e-01,4.60784022e-01,-3.15563536e+00
  211,2.41921000e+00,-7.59266000e+00,2.37240000e+00,3.00000000e+00,8.39304924e+00,-6.42665210e-01,4.76038851e-01,8.35369216e+00
  211,2.52496000e+00,-3.30054000e+00,7.28965000e+00,2.75000000e+00,6.66937399e+00,-2.88211856e-01,9.33228015e-01,6.59599027e+00
  211,2.52492000e+00,4.90081000e+00,-6.30708000e+00,5.00000000e-01,5.90282381e-01,5.20659997e-01,-1.06867958e-01,2.15513126e-01
  211,2.51546000e+00,7.79479000e+00,-1.77714000e+00,-2.50000000e-01,6.79725111e-01,4.21717951e-01,-3.63758871e-01,3.63840505e-01
  211,2.57605000e+00,-4.47031000e+00,-6.64989000e+00,3.00000000e+00,1.40945578e+01,-3.59464460e-01,-1.27620226e+00,1.40313644e+01
  211,2.57495000e+00,-4.10062000e+00,-6.88959000e+00,-1.75000000e+00,6.07160389e-01,-9.64206765e-02,-1.24116273e-01,-5.69615829e-01
  211,2.62578000e+00,-5.87120000e+00,5.47586000e+00,-4.00000000e+00,2.89062576e+01,-7.64840073e-01,1.49138314e-01,-2.88954167e+01
  211,2.62310000e+00,-5.36598000e+00,-5.97050000e+00,-4.50000000e+00,3.12899971e+01,-4.09663787e-02,-3.11586842e-01,-3.12881085e+01
  211,2.67482000e+00,-7.98472000e+00,1.10080000e+00,-3.75000000e+00,1.06294842e+01,-2.09247421e-01,2.43376833e-01,-1.06237200e+01
  211,2.72319000e+00,4.95998000e+00,-6.37004000e+00,2.00000000e+00,3.28832483e+00,4.88911907e-01,-9.75301217e-01,3.09892784e+00
  211,2.72463000e+00,5.70399000e+00,-5.70399000e+00,-3.25000000e+00,2.64403653e+00,2.54436094e-01,8.47570433e-03,-2.62804868e+00
  211,2.72131000e+00,7.58846000e+00,-2.76347000e+00,-2.25000000e+00,3.46134448e+00,3.51291390e-01,1.33895632e-01,-3.43803611e+00
  211,2.77500000e+00,-8.06978000e+00,7.00082000e-01,-3.75000000e+00,8.16353989e+00,-7.41700070e-01,-2.54866044e-01,-8.12458192e+00
  211,2.77413000e+00,-5.72036000e+00,5.72036000e+00,-5.00000000e-01,1.02478218e+00,-7.60358637e-01,5.62663459e-01,-3.68732008e-01
  211,2.87722000e+00,-2.27325000e+00,-7.82359000e+00,4.00000000e+00,1.39823828e+01,2.89479213e-02,-3.07823488e-01,1.39782668e+01
  211,2.87465000e+00,3.50210000e+00,7.35254000e+00,-4.50000000e+00,2.76113415e+01,-2.23268741e-02,5.45196566e-01,-2.76055979e+01
  211,2.92468000e+00,-6.93537000e+00,4.30221000e+00,-3.00000000e+00,6.12925434e+00,-4.02251617e-01,4.54620686e-01,-6.09752333e+00
  211,2.92497000e+00,7.47102000e+00,-3.30050000e+00,-3.50000000e+00,6.25304508e+00,4.13400982e-01,-3.81396071e-02,-6.23768687e+00
  211,3.07500000e+00,9.00062000e-01,8.17451000e+00,4.50000000e+00,2.44064865e+01,-5.12003374e-02,1.72092659e-01,2.44054263e+01
  211,3.17499000e+00,1.90026000e+00,-8.05596000e+00,-2.75000000e+00,1.36692977e+00,-5.83591161e-02,-2.29753138e-01,-1.33896407e+00
  211,3.22499000e+00,-1.90027000e+00,-8.08005000e+00,-1.75000000e+00,7.41574574e+00,-3.62052874e-01,-1.52505547e+00,-7.24685656e+00
  211,3.32569000e+00,-5.69199000e+00,-6.08700000e+00,1.25000000e+00,2.19777417e+00,-7.81683854e-01,-7.40951890e-01,1.91067856e+00
  211,3.38409000e+00,-5.81111000e+00,-6.01079000e+00,-1.50000000e+00,5.29687786e+00,-1.60947141e+00,-1.11348952e+00,-4.92007924e+00
  211,3.47629000e+00,-7.24332000e+00,4.26884000e+00,-7.50000000e-01,3.20279455e+00,-2.28404023e+00,1.03340661e+00,-1.98837724e+00
  211,3.52343000e+00,-6.96392000e+00,4.74410000e+00,-4.75000000e+00,1.87849598e+01,-2.66838625e-01,1.39429672e-01,-1.87820285e+01
  211,3.57500000e+00,-8.44988000e+00,9.99176000e-02,-3.00000000e+00,1.04946404e+01,-6.99212079e-01,8.39330877e-01,-1.04366957e+01
  211,3.62385000e+00,-5.12851000e+00,6.74722000e+00,-3.75000000e+00,6.02648211e+00,-5.08208895e-02,6.37873495e-01,-5.99078782e+00
  211,3.62499000e+00,-1.90029000e+00,-8.26241000e+00,1.25000000e+00,2.45045900e+00,-3.21471653e-01,-1.30588671e+00,2.04366949e+00
  211,3.72500000e+00,8.51904000e+00,-9.99470000e-02,-1.75000000e+00,4.02765417e+00,6.00344199e-01,1.01506853e-01,-3.97891966e+00
  211,3.72500000e+00,8.51904000e+00,9.99470000e-02,-5.00000000e-01,1.57178295e+00,1.13482621e+00,-5.72592381e-01,-9.13963507e-01
  211,3.77498000e+00,-7.49380000e+00,4.10036000e+00,-4.25000000e+00,5.59837952e+01,-1.41939259e+00,1.78283639e-02,-5.59656221e+01
  211,3.77498000e+00,-4.10036000e+00,7.49380000e+00,-2.75000000e+00,8.63989830e+00,1.70953010e-01,1.16297982e+00,-8.55842322e+00
  211,3.82498000e+00,-7.90377000e+00,3.30031000e+00,4.00000000e+00,5.11251984e+01,-1.13644266e+00,6.85726823e-01,5.11077758e+01
  211,3.82668000e+00,7.43357000e+00,-4.25572000e+00,-1.00000000e+00,1.32124460e+00,5.29684356e-01,-1.72893219e-01,-1.18985287e+00
  211,3.82500000e+00,8.50673000e+00,9.00032000e-01,-2.25000000e+00,5.67516863e-01,1.76045187e-01,1.25681512e-01,-5.05774515e-01
  211,3.87603000e+00,-3.49306000e+00,-7.84473000e+00,2.25000000e+00,3.65951180e+00,-3.01992084e-02,-2.32865815e-01,3.64930239e+00
  211,3.92370000e+00,7.55880000e+00,4.12047000e+00,4.50000000e+00,5.68064499e+01,7.15540127e-01,7.48477095e-01,5.67968415e+01
  211,4.02089000e+00,-7.78703000e+00,-3.77162000e+00,-1.25000000e+00,1.95701575e+00,-9.28631807e-01,-6.71955177e-01,-1.58004755e+00
  211,4.02594000e+00,-6.86099000e+00,-5.27772000e+00,-7.50000000e-01,4.72818404e-01,-3.81442350e-01,-2.50678415e-02,-2.40729693e-01
  211,4.02416000e+00,-6.11632000e+00,-6.11632000e+00,-2.50000000e+00,2.37998796e+00,-7.75486683e-02,-3.06348971e-01,-2.35478214e+00
  211,4.02419000e+00,6.31586000e+00,5.91005000e+00,5.00000000e+00,5.66749992e+01,8.43992380e-01,7.41168951e-01,5.66636945e+01
  211,4.07656000e+00,-8.03374000e+00,-3.27952000e+00,4.25000000e+00,1.24487162e+01,-3.55264017e-01,-4.90141516e-03,1.24428621e+01
  211,4.06797000e+00,-1.11639000e+00,-8.59255000e+00,2.50000000e-01,5.34951568e-01,1.36428615e-01,-4.92801033e-01,7.23031298e-02
  211,4.12384000e+00,-7.55290000e+00,4.31485000e+00,-3.50000000e+00,3.00725293e+00,-1.03057984e-01,4.02077238e-01,-2.97519804e+00
  211,4.12499000e+00,2.70020000e+00,-8.26812000e+00,3.00000000e+00,9.51235676e+00,1.06736413e+00,-1.13059579e+00,9.38338670e+00
  211,4.13136000e+00,4.21839000e+00,7.61069000e+00,-1.75000000e+00,2.76320314e+00,4.05433550e-01,6.96000935e-01,-2.63951092e+00
  211,4.12602000e+00,7.45345000e+00,4.48513000e+00,2.75000000e+00,2.91882896e+00,2.65689669e-01,1.40532500e-01,2.89995556e+00
  211,4.17611000e+00,-6.45600000e+00,-5.86092000e+00,7.50000000e-01,6.54811382e-01,-2.24302862e-01,-4.60664309e-01,3.83111975e-01
  211,4.17454000e+00,-5.30304000e+00,-6.92368000e+00,4.75000000e+00,8.48460541e+01,-1.14408978e+00,-1.10252581e+00,8.48310648e+01
